id|vocabulary_code|LABEL
NCI/C37994|NCI/C37994|UmlsVocabulary
OMIM/MTHU000756|OMIM/MTHU000756|UmlsVocabulary
LNC/LP199993-9|LNC/LP199993-9|UmlsVocabulary
LNC/LP32940-6|LNC/LP32940-6|UmlsVocabulary
LNC/LP33444-8|LNC/LP33444-8|UmlsVocabulary
LNC/MTHU016812|LNC/MTHU016812|UmlsVocabulary
MSH/D009132|MSH/D009132|UmlsVocabulary
NCI/C12435|NCI/C12435|UmlsVocabulary
HPO/HP:0002018|HPO/HP:0002018|UmlsVocabulary
LNC/LA15098-9|LNC/LA15098-9|UmlsVocabulary
LNC/LP36327-2|LNC/LP36327-2|UmlsVocabulary
LNC/MTHU013524|LNC/MTHU013524|UmlsVocabulary
MSH/D009325|MSH/D009325|UmlsVocabulary
NCI/C3258|NCI/C3258|UmlsVocabulary
OMIM/MTHU002455|OMIM/MTHU002455|UmlsVocabulary
LNC/LA9467-7|LNC/LA9467-7|UmlsVocabulary
LNC/LP200049-7|LNC/LP200049-7|UmlsVocabulary
MSH/D009407|MSH/D009407|UmlsVocabulary
NCI/C21072|NCI/C21072|UmlsVocabulary
HPO/HP:0030166|HPO/HP:0030166|UmlsVocabulary
LNC/LP75171-6|LNC/LP75171-6|UmlsVocabulary
LNC/MTHU013525|LNC/MTHU013525|UmlsVocabulary
NCI/C3279|NCI/C3279|UmlsVocabulary
OMIM/MTHU071582|OMIM/MTHU071582|UmlsVocabulary
LNC/LA30857-9|LNC/LA30857-9|UmlsVocabulary
NCI/C34857|NCI/C34857|UmlsVocabulary
OMIM/MTHU008008|OMIM/MTHU008008|UmlsVocabulary
FMA/67325|FMA/67325|UmlsVocabulary
MSH/D009778|MSH/D009778|UmlsVocabulary
MTH/U002117|MTH/U002117|UmlsVocabulary
NCI/C12355|NCI/C12355|UmlsVocabulary
HPO/HP:0033681|HPO/HP:0033681|UmlsVocabulary
MSH/D009837|MSH/D009837|UmlsVocabulary
NCI/C129319|NCI/C129319|UmlsVocabulary
OMIM/137800|OMIM/137800|UmlsVocabulary
OMIM/MTHU022890|OMIM/MTHU022890|UmlsVocabulary
OMIM/MTHU036793|OMIM/MTHU036793|UmlsVocabulary
FMA/58634|FMA/58634|UmlsVocabulary
FMA/58711|FMA/58711|UmlsVocabulary
MSH/D009898|MSH/D009898|UmlsVocabulary
NCI/C12760|NCI/C12760|UmlsVocabulary
MSH/D000773|MSH/D000773|UmlsVocabulary
HPO/HP:0003401|HPO/HP:0003401|UmlsVocabulary
LNC/LP202889-4|LNC/LP202889-4|UmlsVocabulary
LNC/MTHU051473|LNC/MTHU051473|UmlsVocabulary
MSH/D010292|MSH/D010292|UmlsVocabulary
MTH/556|MTH/556|UmlsVocabulary
NCI/C28177|NCI/C28177|UmlsVocabulary
OMIM/MTHU005827|OMIM/MTHU005827|UmlsVocabulary
OMIM/MTHU016055|OMIM/MTHU016055|UmlsVocabulary
OMIM/MTHU016084|OMIM/MTHU016084|UmlsVocabulary
FMA/61826|FMA/61826|UmlsVocabulary
MSH/D010296|MSH/D010296|UmlsVocabulary
MTH/U002145|MTH/U002145|UmlsVocabulary
NCI/C12354|NCI/C12354|UmlsVocabulary
MSH/D010314|MSH/D010314|UmlsVocabulary
MTH/U000019|MTH/U000019|UmlsVocabulary
MTH/U000082|MTH/U000082|UmlsVocabulary
MTH/U000083|MTH/U000083|UmlsVocabulary
MTH/U000084|MTH/U000084|UmlsVocabulary
NCI/C38462|NCI/C38462|UmlsVocabulary
FMA/24485|FMA/24485|UmlsVocabulary
LNC/LA16748-8|LNC/LA16748-8|UmlsVocabulary
LNC/LP221451-0|LNC/LP221451-0|UmlsVocabulary
LNC/LP30162-9|LNC/LP30162-9|UmlsVocabulary
LNC/LP30539-8|LNC/LP30539-8|UmlsVocabulary
LNC/MTHU014782|LNC/MTHU014782|UmlsVocabulary
LNC/MTHU053776|LNC/MTHU053776|UmlsVocabulary
MSH/D010329|MSH/D010329|UmlsVocabulary
NCI/C33282|NCI/C33282|UmlsVocabulary
MSH/D010465|MSH/D010465|UmlsVocabulary
NCI/C16967|NCI/C16967|UmlsVocabulary
LNC/LP14931-7|LNC/LP14931-7|UmlsVocabulary
LNC/MTHU002192|LNC/MTHU002192|UmlsVocabulary
MSH/D010984|MSH/D010984|UmlsVocabulary
MTH/U000086|MTH/U000086|UmlsVocabulary
NCI/C376|NCI/C376|UmlsVocabulary
NCI/C756|NCI/C756|UmlsVocabulary
RXNORM/1311280|RXNORM/1311280|UmlsVocabulary
HPO/HP:0033840|HPO/HP:0033840|UmlsVocabulary
ICD9CM/627.1|ICD9CM/627.1|UmlsVocabulary
NCI/C34937|NCI/C34937|UmlsVocabulary
LNC/LP18109-6|LNC/LP18109-6|UmlsVocabulary
LNC/MTHU062944|LNC/MTHU062944|UmlsVocabulary
MSH/D011241|MSH/D011241|UmlsVocabulary
NCI/C770|NCI/C770|UmlsVocabulary
RXNORM/8640|RXNORM/8640|UmlsVocabulary
VANDF/4017876|VANDF/4017876|UmlsVocabulary
MSH/D011517|MSH/D011517|UmlsVocabulary
MTH/U000023|MTH/U000023|UmlsVocabulary
NCI/C62656|NCI/C62656|UmlsVocabulary
LNC/LP263781-9|LNC/LP263781-9|UmlsVocabulary
MSH/D011677|MSH/D011677|UmlsVocabulary
MTH/U003461|MTH/U003461|UmlsVocabulary
FMA/58252|FMA/58252|UmlsVocabulary
LNC/LP30546-3|LNC/LP30546-3|UmlsVocabulary
LNC/MTHU015063|LNC/MTHU015063|UmlsVocabulary
MSH/D011680|MSH/D011680|UmlsVocabulary
NCI/C33429|NCI/C33429|UmlsVocabulary
MSH/D012018|MSH/D012018|UmlsVocabulary
MTH/U003465|MTH/U003465|UmlsVocabulary
NCI/C78342|NCI/C78342|UmlsVocabulary
HPO/HP:0001250|HPO/HP:0001250|UmlsVocabulary
LNC/LA15899-0|LNC/LA15899-0|UmlsVocabulary
LNC/LA7472-9|LNC/LA7472-9|UmlsVocabulary
MEDLINEPLUS/396|MEDLINEPLUS/396|UmlsVocabulary
MSH/D012640|MSH/D012640|UmlsVocabulary
MTH/673|MTH/673|UmlsVocabulary
NCI/C2962|NCI/C2962|UmlsVocabulary
OMIM/MTHU000242|OMIM/MTHU000242|UmlsVocabulary
OMIM/MTHU004223|OMIM/MTHU004223|UmlsVocabulary
GO/GO:0007600|GO/GO:0007600|UmlsVocabulary
LNC/LP34365-4|LNC/LP34365-4|UmlsVocabulary
LNC/MTHU017277|LNC/MTHU017277|UmlsVocabulary
MSH/D012677|MSH/D012677|UmlsVocabulary
MTH/527|MTH/527|UmlsVocabulary
MTH/U003464|MTH/U003464|UmlsVocabulary
MSH/D012683|MSH/D012683|UmlsVocabulary
LNC/LP74327-5|LNC/LP74327-5|UmlsVocabulary
LNC/MTHU008384|LNC/MTHU008384|UmlsVocabulary
MSH/D012698|MSH/D012698|UmlsVocabulary
HPO/HP:0000246|HPO/HP:0000246|UmlsVocabulary
MEDLINEPLUS/404|MEDLINEPLUS/404|UmlsVocabulary
MSH/D012852|MSH/D012852|UmlsVocabulary
NCI/C35024|NCI/C35024|UmlsVocabulary
OMIM/MTHU006260|OMIM/MTHU006260|UmlsVocabulary
LNC/LP121781-1|LNC/LP121781-1|UmlsVocabulary
LNC/LP251050-3|LNC/LP251050-3|UmlsVocabulary
LNC/MTHU039958|LNC/MTHU039958|UmlsVocabulary
MSH/D013060|MSH/D013060|UmlsVocabulary
NCI/C38025|NCI/C38025|UmlsVocabulary
MSH/D015524|MSH/D015524|UmlsVocabulary
NCI/C35031|NCI/C35031|UmlsVocabulary
HPO/HP:0001297|HPO/HP:0001297|UmlsVocabulary
LNC/LA22099-8|LNC/LA22099-8|UmlsVocabulary
LNC/LA22244-0|LNC/LA22244-0|UmlsVocabulary
LNC/LA9553-4|LNC/LA9553-4|UmlsVocabulary
LNC/LP74605-4|LNC/LP74605-4|UmlsVocabulary
LNC/MTHU020801|LNC/MTHU020801|UmlsVocabulary
MEDLINEPLUS/8|MEDLINEPLUS/8|UmlsVocabulary
MSH/D020521|MSH/D020521|UmlsVocabulary
MTH/U001797|MTH/U001797|UmlsVocabulary
NCI/C3390|NCI/C3390|UmlsVocabulary
OMIM/601367|OMIM/601367|UmlsVocabulary
OMIM/MTHU008085|OMIM/MTHU008085|UmlsVocabulary
OMIM/MTHU009877|OMIM/MTHU009877|UmlsVocabulary
OMIM/MTHU010049|OMIM/MTHU010049|UmlsVocabulary
OMIM/MTHU012420|OMIM/MTHU012420|UmlsVocabulary
OMIM/MTHU036565|OMIM/MTHU036565|UmlsVocabulary
OMIM/MTHU072910|OMIM/MTHU072910|UmlsVocabulary
ICD9CM/05.31|ICD9CM/05.31|UmlsVocabulary
MSH/D001340|MSH/D001340|UmlsVocabulary
NCI/C21110|NCI/C21110|UmlsVocabulary
LNC/LA21908-1|LNC/LA21908-1|UmlsVocabulary
LNC/LP136501-6|LNC/LP136501-6|UmlsVocabulary
MSH/D013607|MSH/D013607|UmlsVocabulary
NCI/C42998|NCI/C42998|UmlsVocabulary
VANDF/4024284|VANDF/4024284|UmlsVocabulary
LNC/LP15886-2|LNC/LP15886-2|UmlsVocabulary
LNC/LP31688-2|LNC/LP31688-2|UmlsVocabulary
LNC/MTHU008943|LNC/MTHU008943|UmlsVocabulary
MSH/D013831|MSH/D013831|UmlsVocabulary
NCI/C874|NCI/C874|UmlsVocabulary
RXNORM/10454|RXNORM/10454|UmlsVocabulary
VANDF/4017474|VANDF/4017474|UmlsVocabulary
VANDF/4017777|VANDF/4017777|UmlsVocabulary
LNC/LA31131-8|LNC/LA31131-8|UmlsVocabulary
MSH/D062789|MSH/D062789|UmlsVocabulary
NCI/C891|NCI/C891|UmlsVocabulary
VANDF/4017291|VANDF/4017291|UmlsVocabulary
VANDF/4024446|VANDF/4024446|UmlsVocabulary
LNC/LP32744-2|LNC/LP32744-2|UmlsVocabulary
LNC/LP74376-2|LNC/LP74376-2|UmlsVocabulary
LNC/LP7851-1|LNC/LP7851-1|UmlsVocabulary
LNC/MTHU000144|LNC/MTHU000144|UmlsVocabulary
LNC/MTHU008386|LNC/MTHU008386|UmlsVocabulary
MEDLINEPLUS/6355|MEDLINEPLUS/6355|UmlsVocabulary
MSH/D016482|MSH/D016482|UmlsVocabulary
MTH/U000062|MTH/U000062|UmlsVocabulary
NCI/C17241|NCI/C17241|UmlsVocabulary
ICD9CM/95.05|ICD9CM/95.05|UmlsVocabulary
MSH/D058609|MSH/D058609|UmlsVocabulary
HPO/HP:0002013|HPO/HP:0002013|UmlsVocabulary
LNC/LA15099-7|LNC/LA15099-7|UmlsVocabulary
LNC/LP75864-6|LNC/LP75864-6|UmlsVocabulary
LNC/MTHU013530|LNC/MTHU013530|UmlsVocabulary
MEDLINEPLUS/489|MEDLINEPLUS/489|UmlsVocabulary
MSH/D014839|MSH/D014839|UmlsVocabulary
NCI/C3442|NCI/C3442|UmlsVocabulary
OMIM/MTHU000225|OMIM/MTHU000225|UmlsVocabulary
LNC/LA10117-2|LNC/LA10117-2|UmlsVocabulary
MSH/D014853|MSH/D014853|UmlsVocabulary
FMA/24922|FMA/24922|UmlsVocabulary
LNC/LP221474-2|LNC/LP221474-2|UmlsVocabulary
LNC/LP7733-1|LNC/LP7733-1|UmlsVocabulary
LNC/MTHU002691|LNC/MTHU002691|UmlsVocabulary
MSH/D014953|MSH/D014953|UmlsVocabulary
NCI/C111033|NCI/C111033|UmlsVocabulary
MSH/C025417|MSH/C025417|UmlsVocabulary
NCI/C156702|NCI/C156702|UmlsVocabulary
MSH/C034368|MSH/C034368|UmlsVocabulary
HPO/HP:0025143|HPO/HP:0025143|UmlsVocabulary
LNC/LA30863-7|LNC/LA30863-7|UmlsVocabulary
LNC/LP74618-7|LNC/LP74618-7|UmlsVocabulary
LNC/MTHU013512|LNC/MTHU013512|UmlsVocabulary
MSH/D023341|MSH/D023341|UmlsVocabulary
NCI/C35143|NCI/C35143|UmlsVocabulary
HPO/HP:0000613|HPO/HP:0000613|UmlsVocabulary
LNC/LA15103-7|LNC/LA15103-7|UmlsVocabulary
LNC/LA24849-4|LNC/LA24849-4|UmlsVocabulary
MSH/D020795|MSH/D020795|UmlsVocabulary
NCI/C28210|NCI/C28210|UmlsVocabulary
OMIM/MTHU036378|OMIM/MTHU036378|UmlsVocabulary
ICD9CM/710.4|ICD9CM/710.4|UmlsVocabulary
MSH/D017285|MSH/D017285|UmlsVocabulary
NCI/C26925|NCI/C26925|UmlsVocabulary
OMIM/MTHU037341|OMIM/MTHU037341|UmlsVocabulary
LNC/LP15505-8|LNC/LP15505-8|UmlsVocabulary
LNC/LP268966-1|LNC/LP268966-1|UmlsVocabulary
LNC/MTHU004913|LNC/MTHU004913|UmlsVocabulary
LNC/MTHU005166|LNC/MTHU005166|UmlsVocabulary
MSH/D014805|MSH/D014805|UmlsVocabulary
NCI/C939|NCI/C939|UmlsVocabulary
RXNORM/42604|RXNORM/42604|UmlsVocabulary
VANDF/4017907|VANDF/4017907|UmlsVocabulary
MSH/D006515|MSH/D006515|UmlsVocabulary
LNC/LA28141-2|LNC/LA28141-2|UmlsVocabulary
LNC/LA29718-6|LNC/LA29718-6|UmlsVocabulary
LNC/LP99406-8|LNC/LP99406-8|UmlsVocabulary
LNC/MTHU035698|LNC/MTHU035698|UmlsVocabulary
MSH/D013287|MSH/D013287|UmlsVocabulary
LNC/LP31694-0|LNC/LP31694-0|UmlsVocabulary
MSH/D025101|MSH/D025101|UmlsVocabulary
NCI/C1334|NCI/C1334|UmlsVocabulary
RXNORM/42954|RXNORM/42954|UmlsVocabulary
VANDF/4017779|VANDF/4017779|UmlsVocabulary
