id|entity_id|LABEL|preferred_term
UMLS/C0037886|UMLS/C0037886|UmlsEntity|Sphenoid Sinusitis
UMLS/C0038454|UMLS/C0038454|UmlsEntity|Cerebrovascular accident
UMLS/C0039043|UMLS/C0039043|UmlsEntity|Sympathetic Nerve Block
UMLS/C0039225|UMLS/C0039225|UmlsEntity|Tablet Dosage Form
UMLS/C0039840|UMLS/C0039840|UmlsEntity|thiamine
UMLS/C0040329|UMLS/C0040329|UmlsEntity|Tobacco
UMLS/C0042014|UMLS/C0042014|UmlsEntity|Urinalysis
UMLS/C0042825|UMLS/C0042825|UmlsEntity|Visual field study
UMLS/C0042963|UMLS/C0042963|UmlsEntity|Vomiting
UMLS/C0043016|UMLS/C0043016|UmlsEntity|Walkers
UMLS/C0043262|UMLS/C0043262|UmlsEntity|Wrist
UMLS/C0048719|UMLS/C0048719|UmlsEntity|4-toluenesulfonamide
UMLS/C0066981|UMLS/C0066981|UmlsEntity|MVI-12
UMLS/C0085593|UMLS/C0085593|UmlsEntity|Chills
UMLS/C0085636|UMLS/C0085636|UmlsEntity|Photophobia
UMLS/C0085655|UMLS/C0085655|UmlsEntity|Polymyositis
UMLS/C0086024|UMLS/C0086024|UmlsEntity|cobalamins
UMLS/C0086097|UMLS/C0086097|UmlsEntity|Dane Particle
UMLS/C0086190|UMLS/C0086190|UmlsEntity|Illicit Drugs
UMLS/C0087162|UMLS/C0087162|UmlsEntity|vitamin B6
UMLS/C0149871|UMLS/C0149871|UmlsEntity|Deep Vein Thrombosis
UMLS/C0152307|UMLS/C0152307|UmlsEntity|Structure of cuneus
UMLS/C0178842|UMLS/C0178842|UmlsEntity|Sensory Feedback
UMLS/C0200069|UMLS/C0200069|UmlsEntity|Infertility study
UMLS/C0200627|UMLS/C0200627|UmlsEntity|Hematology procedure
UMLS/C0205123|UMLS/C0205123|UmlsEntity|Coronal (qualifier value)
UMLS/C0205161|UMLS/C0205161|UmlsEntity|Abnormal
UMLS/C0221198|UMLS/C0221198|UmlsEntity|Lesion
UMLS/C0224264|UMLS/C0224264|UmlsEntity|Structure of brachioradialis muscle
UMLS/C0228174|UMLS/C0228174|UmlsEntity|Cerebral hemisphere structure (body structure)
UMLS/C0228186|UMLS/C0228186|UmlsEntity|Structure of longitudinal cerebral fissure
UMLS/C0228187|UMLS/C0228187|UmlsEntity|Structure of fissure of Sylvius
UMLS/C0228465|UMLS/C0228465|UmlsEntity|Cerebellar hemisphere structure
UMLS/C0230420|UMLS/C0230420|UmlsEntity|Both lower extremities
UMLS/C0232462|UMLS/C0232462|UmlsEntity|Decrease in appetite
UMLS/C0234130|UMLS/C0234130|UmlsEntity|Motor function
UMLS/C0234527|UMLS/C0234527|UmlsEntity|Apraxia, Motor
UMLS/C0237543|UMLS/C0237543|UmlsEntity|Motor Coordination
UMLS/C0242192|UMLS/C0242192|UmlsEntity|SGOT - Glutamate oxaloacetate transaminase
UMLS/C0271202|UMLS/C0271202|UmlsEntity|Hemianopsia, Homonymous
UMLS/C0332448|UMLS/C0332448|UmlsEntity|Infiltration
UMLS/C0423618|UMLS/C0423618|UmlsEntity|Throbbing Headache
UMLS/C0427008|UMLS/C0427008|UmlsEntity|Stiffness
UMLS/C0439840|UMLS/C0439840|UmlsEntity|Reflex motion descriptor
UMLS/C0441640|UMLS/C0441640|UmlsEntity|Tapering - action
UMLS/C0442025|UMLS/C0442025|UmlsEntity|Muscular
UMLS/C0481354|UMLS/C0481354|UmlsEntity|Late effect of motor vehicle accident
UMLS/C0520966|UMLS/C0520966|UmlsEntity|Abnormal coordination
UMLS/C0521654|UMLS/C0521654|UmlsEntity|Neurologic Deficits
UMLS/C0533584|UMLS/C0533584|UmlsEntity|(ethanol)(2,3,7,8,12,13,17,18-octaethylporphinato)manganese(III) perchlorate
UMLS/C0559499|UMLS/C0559499|UmlsEntity|Biceps brachii muscle structure
UMLS/C0582103|UMLS/C0582103|UmlsEntity|Medical Examination
UMLS/C0592278|UMLS/C0592278|UmlsEntity|Zantac
UMLS/C0682708|UMLS/C0682708|UmlsEntity|White matter
UMLS/C0694547|UMLS/C0694547|UmlsEntity|SYSTOLIC EJECTION MURMUR
UMLS/C0699129|UMLS/C0699129|UmlsEntity|Coumadin
UMLS/C0699177|UMLS/C0699177|UmlsEntity|Plaquenil
UMLS/C0699279|UMLS/C0699279|UmlsEntity|Imuran
UMLS/C0699319|UMLS/C0699319|UmlsEntity|Cytoxan
UMLS/C0699512|UMLS/C0699512|UmlsEntity|Dilantin
UMLS/C0699702|UMLS/C0699702|UmlsEntity|Provera
UMLS/C0699710|UMLS/C0699710|UmlsEntity|Premarin
UMLS/C0702266|UMLS/C0702266|UmlsEntity|Basophilia
UMLS/C0728763|UMLS/C0728763|UmlsEntity|Vasotec
UMLS/C0751396|UMLS/C0751396|UmlsEntity|Well Differentiated Oligodendroglioma
UMLS/C0751466|UMLS/C0751466|UmlsEntity|Phonophobia
UMLS/C0853716|UMLS/C0853716|UmlsEntity|Basophilia (finding)
UMLS/C0878575|UMLS/C0878575|UmlsEntity|Peripheral demyelination
UMLS/C0915981|UMLS/C0915981|UmlsEntity|Ni(HMbtsc)2.4EtOH
UMLS/C0917711|UMLS/C0917711|UmlsEntity|MRI Scans
UMLS/C0969682|UMLS/C0969682|UmlsEntity|Biomedical Enhancement
UMLS/C0969683|UMLS/C0969683|UmlsEntity|Enhancement Technologies
UMLS/C0994191|UMLS/C0994191|UmlsEntity|COMPRESSION BANDAGE, ROLL
UMLS/C1140618|UMLS/C1140618|UmlsEntity|Upper Extremity
UMLS/C1179687|UMLS/C1179687|UmlsEntity|T1 innervation
UMLS/C1179688|UMLS/C1179688|UmlsEntity|T2 innervation
UMLS/C1184145|UMLS/C1184145|UmlsEntity|Occipital
UMLS/C1260928|UMLS/C1260928|UmlsEntity|Romberg test procedure
UMLS/C1262477|UMLS/C1262477|UmlsEntity|Weight decreased
UMLS/C1293134|UMLS/C1293134|UmlsEntity|Enlargement procedure
UMLS/C1322271|UMLS/C1322271|UmlsEntity|Wrist joint
UMLS/C1332750|UMLS/C1332750|UmlsEntity|CEBPE gene
UMLS/C1413766|UMLS/C1413766|UmlsEntity|CSRP1 gene
UMLS/C1414461|UMLS/C1414461|UmlsEntity|ESR1 gene
UMLS/C1415181|UMLS/C1415181|UmlsEntity|GOT1 gene
UMLS/C1419129|UMLS/C1419129|UmlsEntity|PTS gene
UMLS/C1420113|UMLS/C1420113|UmlsEntity|SLC17A5 gene
UMLS/C1446409|UMLS/C1446409|UmlsEntity|Positive
UMLS/C1449722|UMLS/C1449722|UmlsEntity|Epit Vit
UMLS/C1456461|UMLS/C1456461|UmlsEntity|HAS1 gene
UMLS/C1457868|UMLS/C1457868|UmlsEntity|Worse
UMLS/C1457887|UMLS/C1457887|UmlsEntity|Symptoms
UMLS/C1512399|UMLS/C1512399|UmlsEntity|Hemispheric Cistern
UMLS/C1514241|UMLS/C1514241|UmlsEntity|Positive Finding
UMLS/C1555288|UMLS/C1555288|UmlsEntity|Therapy Appropriate
UMLS/C1704258|UMLS/C1704258|UmlsEntity|Abnormality
UMLS/C1706041|UMLS/C1706041|UmlsEntity|CEBPE wt Allele
UMLS/C1706235|UMLS/C1706235|UmlsEntity|ESR1 wt Allele
UMLS/C1706600|UMLS/C1706600|UmlsEntity|CHKA wt Allele
UMLS/C1709077|UMLS/C1709077|UmlsEntity|Motor Roll Pin Device
UMLS/C1711202|UMLS/C1711202|UmlsEntity|Stereotactic Biopsy
UMLS/C1833300|UMLS/C1833300|UmlsEntity|White matter changes
UMLS/C1872855|UMLS/C1872855|UmlsEntity|CHKA protein, human
UMLS/C1873497|UMLS/C1873497|UmlsEntity|Normal assessment finding
UMLS/C1882346|UMLS/C1882346|UmlsEntity|Perivascular Lymphocytic Infiltrate
UMLS/C1995013|UMLS/C1995013|UmlsEntity|Set of muscles
UMLS/C2242996|UMLS/C2242996|UmlsEntity|Has tingling sensation
UMLS/C2351011|UMLS/C2351011|UmlsEntity|Vit E hydrosol
UMLS/C2351012|UMLS/C2351012|UmlsEntity|Vit. E Stada
UMLS/C2713234|UMLS/C2713234|UmlsEntity|Mood:-:Point in time:^Patient:-
UMLS/C2826539|UMLS/C2826539|UmlsEntity|F2 wt Allele
UMLS/C3146295|UMLS/C3146295|UmlsEntity|Triceps
UMLS/C3486148|UMLS/C3486148|UmlsEntity|MVI Pediatric
UMLS/C3496642|UMLS/C3496642|UmlsEntity|parietal region
UMLS/C3714552|UMLS/C3714552|UmlsEntity|Weakness
UMLS/C3714787|UMLS/C3714787|UmlsEntity|Central Nervous System
UMLS/C3811621|UMLS/C3811621|UmlsEntity|Age - 16
UMLS/C3838679|UMLS/C3838679|UmlsEntity|4+ Answer to question
UMLS/C3887875|UMLS/C3887875|UmlsEntity|Visual field defects
UMLS/C4036205|UMLS/C4036205|UmlsEntity|Ambulate
UMLS/C4053487|UMLS/C4053487|UmlsEntity|Androgen Receptor Ligand-binding Domain-encoding Plasmid DNA Vaccine MVI-118
UMLS/C4068812|UMLS/C4068812|UmlsEntity|Right sternal border
UMLS/C4068813|UMLS/C4068813|UmlsEntity|Left sternal border
UMLS/C4083049|UMLS/C4083049|UmlsEntity|Muscle (organ)
UMLS/C4084902|UMLS/C4084902|UmlsEntity|Got Worse
UMLS/C4227868|UMLS/C4227868|UmlsEntity|Unsteady waddling gait
UMLS/C4230085|UMLS/C4230085|UmlsEntity|Funduscopy unremarkable
UMLS/C4266577|UMLS/C4266577|UmlsEntity|Head>Brain
UMLS/C4281786|UMLS/C4281786|UmlsEntity|Presence of foam cells
UMLS/C4285005|UMLS/C4285005|UmlsEntity|Upper extremity>Hand
UMLS/C4285347|UMLS/C4285347|UmlsEntity|Ha Antibody
UMLS/C4289861|UMLS/C4289861|UmlsEntity|COXEN Score 38
UMLS/C4298907|UMLS/C4298907|UmlsEntity|Upper extremity>Wrist
UMLS/C4299094|UMLS/C4299094|UmlsEntity|Lower extremity>Knee
UMLS/C4314713|UMLS/C4314713|UmlsEntity|Unremarkable MRI
UMLS/C4314814|UMLS/C4314814|UmlsEntity|Bilateral hyperintense signals seen on MRI
UMLS/C4527419|UMLS/C4527419|UmlsEntity|Epstein-Barr Encoding Region in situ Hybridization
UMLS/C4554543|UMLS/C4554543|UmlsEntity|TT genotype
UMLS/C4687421|UMLS/C4687421|UmlsEntity|MKI67 Positive
UMLS/C4693091|UMLS/C4693091|UmlsEntity|Abnormal signals on brain imaging
UMLS/C4723682|UMLS/C4723682|UmlsEntity|CMPK1 wt Allele
UMLS/C4723717|UMLS/C4723717|UmlsEntity|UMP-CMP Kinase
UMLS/C4744828|UMLS/C4744828|UmlsEntity|T2 (Observed)-Weighted Imaging
UMLS/C5195254|UMLS/C5195254|UmlsEntity|Abnormal signals in the putamen
UMLS/C5200950|UMLS/C5200950|UmlsEntity|4 (disability score)
UMLS/C5205657|UMLS/C5205657|UmlsEntity|Non-mass-like Enhancement
UMLS/C5206307|UMLS/C5206307|UmlsEntity|MKI67 Negative
UMLS/C5401399|UMLS/C5401399|UmlsEntity|Agreement Score 4
UMLS/C5418622|UMLS/C5418622|UmlsEntity|Parieto-Occipital
UMLS/C5418804|UMLS/C5418804|UmlsEntity|Proton Density MRI
UMLS/C5444025|UMLS/C5444025|UmlsEntity|Lichen (chemical)
UMLS/C5543199|UMLS/C5543199|UmlsEntity|White matter signals
UMLS/C0005558|UMLS/C0005558|UmlsEntity|Biopsy
UMLS/C0006663|UMLS/C0006663|UmlsEntity|Calcinosis
UMLS/C0007473|UMLS/C0007473|UmlsEntity|Structure of cavernous sinus
UMLS/C0007594|UMLS/C0007594|UmlsEntity|Cell fusion procedure
UMLS/C0009244|UMLS/C0009244|UmlsEntity|Cognitive Therapy
UMLS/C0012569|UMLS/C0012569|UmlsEntity|Diplopia
UMLS/C0015252|UMLS/C0015252|UmlsEntity|removal technique
UMLS/C0015300|UMLS/C0015300|UmlsEntity|Exophthalmos
UMLS/C0015392|UMLS/C0015392|UmlsEntity|Eye
UMLS/C0018681|UMLS/C0018681|UmlsEntity|Headache
UMLS/C0025286|UMLS/C0025286|UmlsEntity|Meningioma
UMLS/C0027651|UMLS/C0027651|UmlsEntity|Neoplasms
UMLS/C0029130|UMLS/C0029130|UmlsEntity|Optic Nerve
UMLS/C0029132|UMLS/C0029132|UmlsEntity|Disorder of the optic nerve
UMLS/C0030193|UMLS/C0030193|UmlsEntity|Pain
UMLS/C0037885|UMLS/C0037885|UmlsEntity|Sphenoidal sinus
UMLS/C0037935|UMLS/C0037935|UmlsEntity|Spinal fusion (procedure)
UMLS/C0040405|UMLS/C0040405|UmlsEntity|X-Ray Computed Tomography
UMLS/C0041671|UMLS/C0041671|UmlsEntity|Attention Deficit Disorder
UMLS/C0042789|UMLS/C0042789|UmlsEntity|Vision
UMLS/C0085635|UMLS/C0085635|UmlsEntity|Photopsia
UMLS/C0154888|UMLS/C0154888|UmlsEntity|Peripheral scars
UMLS/C0186005|UMLS/C0186005|UmlsEntity|Atlanto-Axial Fusion
UMLS/C0187394|UMLS/C0187394|UmlsEntity|
UMLS/C0187402|UMLS/C0187402|UmlsEntity|Radiocarpal fusion
UMLS/C0205146|UMLS/C0205146|UmlsEntity|Area
UMLS/C0225317|UMLS/C0225317|UmlsEntity|soft tissue
UMLS/C0229089|UMLS/C0229089|UmlsEntity|Right eye
UMLS/C0229118|UMLS/C0229118|UmlsEntity|Structure of both eyes
UMLS/C0231239|UMLS/C0231239|UmlsEntity|Fluctuation
UMLS/C0233794|UMLS/C0233794|UmlsEntity|Memory impairment
UMLS/C0239574|UMLS/C0239574|UmlsEntity|Low grade fever
UMLS/C0278138|UMLS/C0278138|UmlsEntity|Mild pain
UMLS/C0333641|UMLS/C0333641|UmlsEntity|Atrophic
UMLS/C0338656|UMLS/C0338656|UmlsEntity|Impaired cognition
UMLS/C0344232|UMLS/C0344232|UmlsEntity|Blurred vision
UMLS/C0344233|UMLS/C0344233|UmlsEntity|Retinal blind spot
UMLS/C0347530|UMLS/C0347530|UmlsEntity|Base deficit (finding)
UMLS/C0393706|UMLS/C0393706|UmlsEntity|Early infantile epileptic encephalopathy with suppression bursts
UMLS/C0450102|UMLS/C0450102|UmlsEntity|Optic canal
UMLS/C0456909|UMLS/C0456909|UmlsEntity|Blindness
UMLS/C0554970|UMLS/C0554970|UmlsEntity|Optic disc pallor
UMLS/C0577559|UMLS/C0577559|UmlsEntity|Mass of body structure
UMLS/C0577573|UMLS/C0577573|UmlsEntity|Mass of body region
UMLS/C0578862|UMLS/C0578862|UmlsEntity|Intraocular pressure finding
UMLS/C0700042|UMLS/C0700042|UmlsEntity|Orbital region
UMLS/C0728940|UMLS/C0728940|UmlsEntity|Excision
UMLS/C0746961|UMLS/C0746961|UmlsEntity|Oxygen saturation below reference range
UMLS/C1315031|UMLS/C1315031|UmlsEntity|Ophthalmology Visual Field measurements
UMLS/C1533591|UMLS/C1533591|UmlsEntity|Calcification
UMLS/C1837545|UMLS/C1837545|UmlsEntity|Nystagmus, mild
UMLS/C1839253|UMLS/C1839253|UmlsEntity|Mild scoliosis
UMLS/C1840417|UMLS/C1840417|UmlsEntity|Mild sclerosis
UMLS/C1861101|UMLS/C1861101|UmlsEntity|THYROID HORMONE PLASMA MEMBRANE TRANSPORT DEFECT
UMLS/C2242558|UMLS/C2242558|UmlsEntity|Pathologic calcification, calcified structure
UMLS/C2707266|UMLS/C2707266|UmlsEntity|Vision:-:Point in time:^Patient:-
UMLS/C2750202|UMLS/C2750202|UmlsEntity|Loss of color vision, progressive
UMLS/C2936904|UMLS/C2936904|UmlsEntity|Opitz GBBB Syndrome, X-Linked
UMLS/C3273930|UMLS/C3273930|UmlsEntity|Tumor Mass
UMLS/C3665488|UMLS/C3665488|UmlsEntity|Familial Osteochondritis Dissecans
UMLS/C3887709|UMLS/C3887709|UmlsEntity|Optic Neuropathy
UMLS/C3890171|UMLS/C3890171|UmlsEntity|dinoflagellate apex
UMLS/C4266572|UMLS/C4266572|UmlsEntity|Head>Eye
UMLS/C4532079|UMLS/C4532079|UmlsEntity|Neck+Chest>Soft tissue
UMLS/C4554466|UMLS/C4554466|UmlsEntity|Foot and mouth disease virus serotype O
UMLS/C5148141|UMLS/C5148141|UmlsEntity|Multisection^W contrast
UMLS/C5441521|UMLS/C5441521|UmlsEntity|Complaint (finding)
UMLS/C0004811|UMLS/C0004811|UmlsEntity|Structure of basilar artery
UMLS/C0006141|UMLS/C0006141|UmlsEntity|Breast
UMLS/C0007272|UMLS/C0007272|UmlsEntity|Carotid Arteries
UMLS/C0007799|UMLS/C0007799|UmlsEntity|Cerebral Ventricles
UMLS/C0008812|UMLS/C0008812|UmlsEntity|Circle of Willis
UMLS/C0010271|UMLS/C0010271|UmlsEntity|Cranial Sinuses
UMLS/C0018827|UMLS/C0018827|UmlsEntity|Heart Ventricle
UMLS/C0027627|UMLS/C0027627|UmlsEntity|Neoplasm Metastasis
UMLS/C0032005|UMLS/C0032005|UmlsEntity|Pituitary Gland
UMLS/C0038527|UMLS/C0038527|UmlsEntity|Subarachnoid Space
UMLS/C0039484|UMLS/C0039484|UmlsEntity|Temporal bone structure
UMLS/C0039729|UMLS/C0039729|UmlsEntity|Thalamic structure
UMLS/C0149543|UMLS/C0149543|UmlsEntity|Base of skull structure
UMLS/C0152345|UMLS/C0152345|UmlsEntity|External capsule
UMLS/C0152392|UMLS/C0152392|UmlsEntity|Structure of middle cerebellar peduncle
UMLS/C0162859|UMLS/C0162859|UmlsEntity|Common carotid artery
UMLS/C0175348|UMLS/C0175348|UmlsEntity|Velum interpositum
UMLS/C0176371|UMLS/C0176371|UmlsEntity|Augmentation rhinoplasty
UMLS/C0185696|UMLS/C0185696|UmlsEntity|Augmentation genioplasty (procedure)
UMLS/C0191925|UMLS/C0191925|UmlsEntity|Augmentation mammoplasty
UMLS/C0205082|UMLS/C0205082|UmlsEntity|Severe (severity modifier)
UMLS/C0205950|UMLS/C0205950|UmlsEntity|Calvaria
UMLS/C0225030|UMLS/C0225030|UmlsEntity|Structure of perineal body
UMLS/C0225983|UMLS/C0225983|UmlsEntity|Structure of perivascular space
UMLS/C0228110|UMLS/C0228110|UmlsEntity|Structure of virchow-Robin space
UMLS/C0228181|UMLS/C0228181|UmlsEntity|Structure of centrum semiovale
UMLS/C0228351|UMLS/C0228351|UmlsEntity|Centromedian Thalamic Nucleus
UMLS/C0228427|UMLS/C0228427|UmlsEntity|Basis pontis
UMLS/C0230162|UMLS/C0230162|UmlsEntity|Central tendon of diaphragm structure
UMLS/C0235946|UMLS/C0235946|UmlsEntity|Cerebral atrophy
UMLS/C0263409|UMLS/C0263409|UmlsEntity|Linear Scleroderma
UMLS/C0264495|UMLS/C0264495|UmlsEntity|Linear atelectasis
UMLS/C0302319|UMLS/C0302319|UmlsEntity|Porokeratosis, Linear
UMLS/C0333559|UMLS/C0333559|UmlsEntity|Infarction, Lacunar
UMLS/C0458433|UMLS/C0458433|UmlsEntity|Trigonal muscle
UMLS/C0458436|UMLS/C0458436|UmlsEntity|Deep trigonal muscle
UMLS/C0473305|UMLS/C0473305|UmlsEntity|Augmentation of labor
UMLS/C0518656|UMLS/C0518656|UmlsEntity|Chronic fatigue
UMLS/C0687099|UMLS/C0687099|UmlsEntity|Centrum of vertebra
UMLS/C0745188|UMLS/C0745188|UmlsEntity|Chronic hypoxemia
UMLS/C0746367|UMLS/C0746367|UmlsEntity|Chronic malnutrition
UMLS/C0751572|UMLS/C0751572|UmlsEntity|Vertebrobasilar Dolichoectasia
UMLS/C1185806|UMLS/C1185806|UmlsEntity|Retro-inguinal vascular space
UMLS/C1293122|UMLS/C1293122|UmlsEntity|Augmentation procedure
UMLS/C1300597|UMLS/C1300597|UmlsEntity|Opening of suture of cranium (procedure)
UMLS/C1511529|UMLS/C1511529|UmlsEntity|Cortical Vein
UMLS/C1517029|UMLS/C1517029|UmlsEntity|Extensive Necrosis
UMLS/C1522565|UMLS/C1522565|UmlsEntity|Ventricular
UMLS/C1844704|UMLS/C1844704|UmlsEntity|Platyspondyly
UMLS/C1845273|UMLS/C1845273|UmlsEntity|Flattened antihelix
UMLS/C1848397|UMLS/C1848397|UmlsEntity|Flattened occiput
UMLS/C1849549|UMLS/C1849549|UmlsEntity|Flattened nails
UMLS/C1850496|UMLS/C1850496|UmlsEntity|Neuronal loss in central nervous system
UMLS/C1851086|UMLS/C1851086|UmlsEntity|Moderate to severe hypotonia
UMLS/C1853241|UMLS/C1853241|UmlsEntity|Flat face
UMLS/C1997771|UMLS/C1997771|UmlsEntity|Chronic hypercapnia
UMLS/C2355627|UMLS/C2355627|UmlsEntity|Ventricle
UMLS/C2662648|UMLS/C2662648|UmlsEntity|Amorphus
UMLS/C2673788|UMLS/C2673788|UmlsEntity|Chronic tearing
UMLS/C2675972|UMLS/C2675972|UmlsEntity|Ventricular enlargement
UMLS/C2733158|UMLS/C2733158|UmlsEntity|Cerebral Small Vessel Diseases
UMLS/C2826576|UMLS/C2826576|UmlsEntity|Ischemic Change
UMLS/C2938912|UMLS/C2938912|UmlsEntity|Hyperintensity of cerebral white matter on MRI
UMLS/C3149362|UMLS/C3149362|UmlsEntity|Cortical and subcortical hyperintensities
UMLS/C3278658|UMLS/C3278658|UmlsEntity|Linear hyperpigmentation
UMLS/C3550392|UMLS/C3550392|UmlsEntity|Constipation, moderate to severe
UMLS/C3805317|UMLS/C3805317|UmlsEntity|Moderate to severe acne
UMLS/C3845233|UMLS/C3845233|UmlsEntity|Extensive metabolizer
UMLS/C4012081|UMLS/C4012081|UmlsEntity|Extensive caries
UMLS/C4022746|UMLS/C4022746|UmlsEntity|T2 hypointense brainstem
UMLS/C4022776|UMLS/C4022776|UmlsEntity|T2 hypointense thalamus
UMLS/C4071876|UMLS/C4071876|UmlsEntity|Head+Neck>Circle of Willis
UMLS/C4071877|UMLS/C4071877|UmlsEntity|Head+Neck>Carotid artery
UMLS/C4229553|UMLS/C4229553|UmlsEntity|Erythroderma, moderate to severe
UMLS/C4255448|UMLS/C4255448|UmlsEntity|Metastasis
UMLS/C4299121|UMLS/C4299121|UmlsEntity|Head>Skull.base
UMLS/C4314149|UMLS/C4314149|UmlsEntity|T2-weighted hyperintensities
UMLS/C4531279|UMLS/C4531279|UmlsEntity|Striatal T2 hyperintensity
UMLS/C5203119|UMLS/C5203119|UmlsEntity|Intensity and Distress 5
UMLS/C5206721|UMLS/C5206721|UmlsEntity|Widespread Metastasis
UMLS/C5233075|UMLS/C5233075|UmlsEntity|Hyperintensity of subthalamic nuclei
