ID|LABEL|PAYMENT_DATE|AMOUNT|CURRENCY
P_83|payment|2022-03-03|647.08|dollar
P_84|payment|2021-01-14|617.5|dollar
P_86|payment|2022-04-20|410.32|dollar
P_87|payment|2021-06-20|304.75|dollar
P_88|payment|2022-02-16|403.26|dollar
P_89|payment|2021-09-09|973.27|dollar
P_90|payment|2021-07-09|278.62|dollar
P_96|payment|2021-03-13|333.39|dollar
P_97|payment|2021-03-21|397.58|dollar
P_98|payment|2022-02-19|783.56|dollar
P_99|payment|2021-09-20|406.72|dollar
P_100|payment|2021-07-04|759.94|dollar
P_102|payment|2021-08-17|245.14|dollar
P_103|payment|2021-09-14|270.65|dollar
P_108|payment|2021-03-15|99.74|dollar
P_109|payment|2021-04-24|782.56|dollar
P_112|payment|2021-05-14|521.0|dollar
P_113|payment|2021-11-08|769.48|dollar
P_116|payment|2022-04-14|192.26|dollar
P_118|payment|2021-12-03|734.35|dollar
P_124|payment|2021-11-24|26.63|dollar
P_126|payment|2021-12-31|745.02|dollar
P_134|payment|2021-12-28|249.11|dollar
P_136|payment|2021-06-02|806.05|dollar
P_140|payment|2022-02-16|811.0|dollar
P_141|payment|2021-06-25|699.24|dollar
P_143|payment|2021-07-27|110.9|dollar
P_145|payment|2021-05-23|120.06|dollar
P_146|payment|2022-02-06|814.77|dollar
P_150|payment|2021-12-13|66.17|dollar
P_151|payment|2022-04-09|387.12|dollar
P_152|payment|2022-01-10|957.25|dollar
P_156|payment|2022-02-05|420.3|dollar
P_161|payment|2022-04-07|81.61|dollar
P_166|payment|2022-02-06|499.91|dollar
P_171|payment|2022-04-19|588.96|dollar
P_173|payment|2021-11-25|316.13|dollar
P_174|payment|2022-01-31|698.92|dollar
P_175|payment|2021-04-19|910.43|dollar
P_176|payment|2021-04-15|714.01|dollar
P_178|payment|2021-01-21|307.09|dollar
P_182|payment|2021-04-19|610.88|dollar
P_187|payment|2021-02-07|486.86|dollar
P_189|payment|2022-03-08|184.12|dollar
P_190|payment|2021-02-14|69.3|dollar
P_192|payment|2022-02-05|913.54|dollar
P_193|payment|2021-07-23|29.18|dollar
P_194|payment|2021-11-16|651.89|dollar
P_195|payment|2021-12-12|217.47|dollar
P_198|payment|2022-04-19|437.62|dollar
P_200|payment|2022-02-22|277.44|dollar
P_202|payment|2022-03-12|117.12|dollar
P_203|payment|2021-08-17|692.28|dollar
P_206|payment|2022-01-08|569.76|dollar
P_207|payment|2021-08-18|766.06|dollar
P_210|payment|2021-02-05|419.36|dollar
P_214|payment|2021-05-14|778.23|dollar
P_215|payment|2022-04-22|564.82|dollar
P_218|payment|2021-06-04|341.41|dollar
P_221|payment|2021-10-01|291.58|dollar
P_222|payment|2021-04-21|382.52|dollar
P_226|payment|2021-10-04|791.24|dollar
P_228|payment|2021-08-19|774.4|dollar
P_229|payment|2021-05-08|939.81|dollar
P_230|payment|2021-12-18|329.7|dollar
P_233|payment|2021-06-10|984.3|dollar
P_236|payment|2022-04-14|48.64|dollar
P_237|payment|2021-03-07|571.54|dollar
P_238|payment|2022-02-12|317.98|dollar
P_241|payment|2021-02-19|641.02|dollar
P_242|payment|2021-01-13|370.53|dollar
P_246|payment|2021-03-03|564.67|dollar
P_251|payment|2021-08-20|827.26|dollar
P_255|payment|2022-04-29|181.32|dollar
P_256|payment|2021-06-03|753.71|dollar
P_257|payment|2021-01-17|529.66|dollar
P_258|payment|2021-02-14|266.8|dollar
P_261|payment|2021-01-28|652.62|dollar
P_263|payment|2021-05-14|960.83|dollar
P_267|payment|2022-03-18|416.17|dollar
P_268|payment|2022-02-18|625.76|dollar
P_269|payment|2022-03-10|655.74|dollar
P_274|payment|2021-04-01|809.73|dollar
P_275|payment|2022-04-27|503.5|dollar
P_276|payment|2022-01-27|690.77|dollar
P_277|payment|2021-07-23|531.05|dollar
P_278|payment|2021-07-07|787.99|dollar
P_279|payment|2021-06-21|875.91|dollar
P_280|payment|2021-01-19|265.34|dollar
P_283|payment|2021-11-03|205.96|dollar
P_286|payment|2021-04-05|427.74|dollar
P_287|payment|2021-08-30|608.39|dollar
P_288|payment|2022-02-27|588.09|dollar
P_290|payment|2021-01-01|822.77|dollar
P_291|payment|2021-06-13|9.01|dollar
P_292|payment|2021-06-14|369.34|dollar
P_297|payment|2022-03-18|104.39|dollar
P_299|payment|2021-03-08|832.79|dollar
P_303|payment|2021-07-23|396.19|dollar
P_304|payment|2021-11-12|762.48|dollar
P_305|payment|2021-10-21|993.15|dollar
P_306|payment|2021-03-20|149.03|dollar
P_307|payment|2021-07-26|787.43|dollar
P_308|payment|2021-03-21|260.28|dollar
P_309|payment|2021-09-14|173.05|dollar
P_311|payment|2021-04-28|680.94|dollar
P_312|payment|2021-05-10|92.62|dollar
P_314|payment|2021-04-07|464.93|dollar
P_317|payment|2021-08-18|327.69|dollar
P_318|payment|2021-09-10|980.23|dollar
P_321|payment|2021-03-20|492.96|dollar
P_323|payment|2021-05-15|382.16|dollar
P_324|payment|2022-04-01|465.64|dollar
P_326|payment|2021-06-13|33.52|dollar
P_328|payment|2022-03-21|818.71|dollar
P_331|payment|2021-06-21|927.72|dollar
P_333|payment|2021-03-09|209.41|dollar
P_336|payment|2021-12-03|744.23|dollar
P_338|payment|2021-09-29|908.49|dollar
P_339|payment|2021-07-21|351.62|dollar
P_343|payment|2021-08-05|619.56|dollar
P_344|payment|2021-09-07|135.97|dollar
P_346|payment|2021-11-08|553.65|dollar
P_349|payment|2021-12-26|361.98|dollar
P_351|payment|2022-02-09|866.29|dollar
P_354|payment|2021-08-16|246.15|dollar
P_356|payment|2021-07-09|547.05|dollar
P_357|payment|2021-10-27|12.49|dollar
P_359|payment|2022-04-22|387.92|dollar
P_361|payment|2021-07-27|993.17|dollar
P_364|payment|2021-02-03|211.66|dollar
P_367|payment|2021-10-19|401.88|dollar
P_368|payment|2021-01-09|504.33|dollar
P_369|payment|2021-04-27|509.24|dollar
P_372|payment|2022-02-20|150.08|dollar
P_376|payment|2021-04-26|138.49|dollar
P_377|payment|2022-03-15|666.58|dollar
P_378|payment|2021-06-03|691.03|dollar
P_380|payment|2021-05-31|84.45|dollar
P_384|payment|2021-02-05|253.03|dollar
P_386|payment|2021-08-31|719.48|dollar
P_389|payment|2022-01-25|983.88|dollar
P_391|payment|2022-01-15|650.44|dollar
P_393|payment|2021-11-19|377.25|dollar
P_394|payment|2021-04-22|404.37|dollar
P_396|payment|2021-09-05|157.37|dollar
P_399|payment|2021-10-19|827.01|dollar
P_402|payment|2021-02-21|544.71|dollar
P_403|payment|2021-02-17|839.62|dollar
P_405|payment|2021-12-05|745.41|dollar
P_410|payment|2022-04-22|549.63|dollar
P_412|payment|2021-07-29|859.27|dollar
P_414|payment|2021-09-02|310.57|dollar
P_416|payment|2021-07-07|988.07|dollar
P_418|payment|2021-10-04|144.67|dollar
P_419|payment|2021-05-25|988.5|dollar
P_420|payment|2021-07-14|801.56|dollar
P_422|payment|2022-04-06|871.28|dollar
P_425|payment|2021-11-20|483.75|dollar
P_426|payment|2021-10-20|482.01|dollar
P_429|payment|2021-11-26|382.5|dollar
P_431|payment|2021-03-29|743.09|dollar
P_432|payment|2021-01-11|252.21|dollar
P_434|payment|2022-01-12|742.24|dollar
P_438|payment|2021-10-17|982.49|dollar
P_439|payment|2021-05-29|701.79|dollar
P_442|payment|2021-12-07|922.95|dollar
P_445|payment|2022-02-02|71.84|dollar
P_446|payment|2022-04-28|113.1|dollar
P_449|payment|2022-04-06|133.52|dollar
P_450|payment|2021-04-09|207.84|dollar
P_452|payment|2021-02-01|213.19|dollar
P_454|payment|2021-03-03|112.41|dollar
P_457|payment|2021-07-22|845.46|dollar
P_461|payment|2021-08-05|273.17|dollar
P_466|payment|2021-09-09|975.05|dollar
P_472|payment|2021-03-29|621.69|dollar
P_473|payment|2021-07-21|414.61|dollar
P_477|payment|2021-11-11|905.39|dollar
P_478|payment|2021-01-08|949.18|dollar
P_479|payment|2021-05-09|316.82|dollar
P_482|payment|2021-08-10|972.64|dollar
P_485|payment|2021-05-01|686.13|dollar
P_490|payment|2021-11-04|900.42|dollar
P_493|payment|2021-08-24|987.35|dollar
P_494|payment|2021-03-13|648.39|dollar
P_495|payment|2021-06-15|777.05|dollar
P_496|payment|2021-05-30|147.76|dollar
P_497|payment|2021-06-08|897.58|dollar
P_502|payment|2021-09-08|33.14|dollar
P_503|payment|2022-04-14|216.8|dollar
P_505|payment|2021-06-08|231.79|dollar
P_506|payment|2021-07-02|826.31|dollar
P_507|payment|2021-02-05|420.12|dollar
P_510|payment|2021-06-23|491.72|dollar
P_511|payment|2021-04-09|523.51|dollar
P_512|payment|2021-10-10|170.15|dollar
P_517|payment|2021-12-31|6.55|dollar
P_518|payment|2021-06-25|460.33|dollar
P_519|payment|2022-02-17|324.03|dollar
P_520|payment|2021-02-28|672.32|dollar
P_521|payment|2021-07-31|904.36|dollar
P_522|payment|2021-04-29|651.73|dollar
P_526|payment|2021-02-10|699.58|dollar
P_527|payment|2022-03-04|813.71|dollar
P_529|payment|2021-11-17|633.75|dollar
P_530|payment|2021-03-05|547.06|dollar
P_532|payment|2021-02-24|615.1|dollar
P_536|payment|2021-01-02|182.82|dollar
P_538|payment|2021-12-03|299.77|dollar
P_539|payment|2022-03-19|130.82|dollar
P_540|payment|2022-02-07|232.08|dollar
P_543|payment|2021-03-05|456.93|dollar
P_545|payment|2021-06-18|720.16|dollar
P_547|payment|2021-10-04|940.26|dollar
P_548|payment|2021-03-18|596.43|dollar
P_549|payment|2021-07-24|781.53|dollar
P_551|payment|2021-04-06|377.27|dollar
P_552|payment|2022-03-04|304.69|dollar
P_553|payment|2021-09-03|774.12|dollar
P_555|payment|2022-03-29|238.76|dollar
P_557|payment|2021-03-27|66.09|dollar
P_562|payment|2022-02-23|919.27|dollar
P_565|payment|2021-05-16|363.68|dollar
P_568|payment|2022-02-14|675.17|dollar
P_571|payment|2021-09-09|410.49|dollar
P_573|payment|2021-08-29|275.87|dollar
P_575|payment|2021-03-10|647.96|dollar
P_576|payment|2022-02-11|256.55|dollar
P_577|payment|2021-01-07|630.89|dollar
P_578|payment|2021-03-10|885.43|dollar
P_580|payment|2021-09-18|193.32|dollar
P_585|payment|2022-04-09|88.65|dollar
P_586|payment|2022-01-08|957.9|dollar
P_587|payment|2021-05-04|977.12|dollar
P_588|payment|2021-12-22|889.82|dollar
P_589|payment|2021-09-05|342.53|dollar
P_591|payment|2021-09-29|380.91|dollar
P_593|payment|2021-03-13|703.45|dollar
P_596|payment|2021-06-30|391.57|dollar
P_598|payment|2021-06-06|412.54|dollar
P_603|payment|2021-12-15|580.71|dollar
P_606|payment|2021-11-29|804.07|dollar
P_608|payment|2021-08-28|728.84|dollar
P_609|payment|2021-12-12|165.93|dollar
P_612|payment|2021-10-23|932.6|dollar
P_613|payment|2021-05-31|774.34|dollar
P_614|payment|2021-04-28|257.08|dollar
P_615|payment|2021-06-14|351.65|dollar
P_616|payment|2022-01-03|600.84|dollar
P_619|payment|2021-02-18|497.59|dollar
P_622|payment|2021-03-28|212.5|dollar
P_625|payment|2021-10-12|596.76|dollar
P_626|payment|2022-04-04|470.26|dollar
P_627|payment|2021-09-28|814.62|dollar
P_629|payment|2021-01-22|864.68|dollar
P_630|payment|2021-12-20|306.39|dollar
P_632|payment|2021-01-14|139.07|dollar
P_633|payment|2022-03-04|909.04|dollar
P_635|payment|2021-12-29|445.79|dollar
P_636|payment|2021-07-12|637.65|dollar
P_639|payment|2022-04-16|805.57|dollar
P_641|payment|2021-05-10|516.12|dollar
P_645|payment|2021-10-29|647.24|dollar
P_646|payment|2021-08-13|212.24|dollar
P_647|payment|2021-02-28|650.86|dollar
P_650|payment|2021-08-31|972.12|dollar
P_651|payment|2021-03-21|521.36|dollar
P_653|payment|2021-02-18|684.11|dollar
P_656|payment|2021-12-25|189.32|dollar
P_657|payment|2022-02-01|171.04|dollar
P_658|payment|2022-03-05|844.56|dollar
P_659|payment|2022-03-27|416.36|dollar
P_662|payment|2021-01-02|173.68|dollar
P_663|payment|2021-08-22|929.37|dollar
P_664|payment|2021-11-13|541.52|dollar
P_665|payment|2021-11-05|628.31|dollar
P_666|payment|2021-09-23|116.38|dollar
P_668|payment|2021-03-22|329.39|dollar
P_670|payment|2022-02-27|355.73|dollar
P_673|payment|2022-02-15|659.05|dollar
P_674|payment|2021-08-01|798.76|dollar
P_675|payment|2021-09-15|347.04|dollar
P_678|payment|2021-01-28|949.07|dollar
P_679|payment|2021-08-26|186.68|dollar
P_682|payment|2021-09-02|908.69|dollar
P_684|payment|2021-10-23|752.32|dollar
P_686|payment|2021-10-31|76.99|dollar
P_687|payment|2022-02-04|394.05|dollar
P_689|payment|2022-04-23|813.05|dollar
P_690|payment|2021-01-26|588.43|dollar
P_691|payment|2021-01-28|443.15|dollar
P_692|payment|2021-02-23|430.39|dollar
P_694|payment|2021-04-21|25.22|dollar
P_698|payment|2021-10-13|450.22|dollar
P_706|payment|2021-02-22|303.75|dollar
P_707|payment|2022-04-02|289.43|dollar
P_708|payment|2022-04-28|565.58|dollar
P_709|payment|2022-02-27|158.62|dollar
P_710|payment|2021-12-26|226.02|dollar
P_712|payment|2022-02-11|614.16|dollar
P_713|payment|2021-07-22|628.78|dollar
P_715|payment|2021-04-12|768.3|dollar
P_716|payment|2021-06-18|439.49|dollar
P_717|payment|2021-10-21|195.2|dollar
P_718|payment|2022-01-09|929.01|dollar
P_719|payment|2021-12-21|695.96|dollar
P_722|payment|2021-02-09|544.18|dollar
P_725|payment|2021-06-29|262.53|dollar
P_726|payment|2021-06-25|88.79|dollar
P_727|payment|2021-10-22|80.47|dollar
P_730|payment|2021-12-24|494.2|dollar
P_731|payment|2021-12-30|255.14|dollar
P_738|payment|2021-09-16|563.75|dollar
P_739|payment|2021-10-09|459.01|dollar
P_740|payment|2021-10-23|888.43|dollar
P_741|payment|2022-01-04|810.52|dollar
P_743|payment|2022-03-31|19.29|dollar
P_744|payment|2021-11-20|102.8|dollar
P_747|payment|2021-11-10|785.76|dollar
P_748|payment|2021-10-25|740.59|dollar
P_751|payment|2021-10-15|472.28|dollar
P_752|payment|2021-08-15|970.63|dollar
P_755|payment|2022-04-04|654.09|dollar
P_756|payment|2021-04-29|913.22|dollar
P_758|payment|2022-04-10|502.34|dollar
P_759|payment|2022-04-30|667.4|dollar
P_760|payment|2021-03-26|676.31|dollar
P_768|payment|2022-02-08|194.15|dollar
P_769|payment|2022-03-23|453.49|dollar
P_770|payment|2021-10-05|817.34|dollar
P_771|payment|2022-02-12|658.2|dollar
P_772|payment|2021-01-08|859.44|dollar
P_773|payment|2021-08-06|34.18|dollar
P_778|payment|2021-01-14|593.52|dollar
P_779|payment|2022-03-14|196.68|dollar
P_781|payment|2021-12-03|423.4|dollar
P_782|payment|2022-02-23|547.13|dollar
P_784|payment|2022-03-14|324.95|dollar
P_785|payment|2021-10-05|4.46|dollar
P_787|payment|2022-02-06|437.42|dollar
P_788|payment|2021-04-18|423.25|dollar
P_790|payment|2022-02-18|201.37|dollar
P_796|payment|2022-01-18|419.58|dollar
P_797|payment|2021-05-04|522.31|dollar
P_800|payment|2021-01-22|482.1|dollar
P_801|payment|2021-07-27|497.04|dollar
P_802|payment|2021-12-22|211.45|dollar
P_803|payment|2021-10-30|284.61|dollar
P_804|payment|2021-09-03|536.43|dollar
P_805|payment|2021-04-16|825.21|dollar
P_806|payment|2021-09-29|947.49|dollar
P_812|payment|2021-07-06|373.99|dollar
P_813|payment|2022-03-30|29.44|dollar
P_815|payment|2021-11-16|383.62|dollar
P_816|payment|2021-02-16|969.38|dollar
P_818|payment|2021-09-22|387.25|dollar
P_819|payment|2021-10-03|568.84|dollar
P_820|payment|2021-03-18|100.38|dollar
P_821|payment|2021-10-02|495.67|dollar
P_822|payment|2021-09-16|940.52|dollar
P_827|payment|2021-02-27|78.44|dollar
P_828|payment|2021-11-25|323.49|dollar
P_830|payment|2021-09-12|585.21|dollar
P_839|payment|2021-12-26|408.67|dollar
P_840|payment|2021-03-16|59.44|dollar
P_841|payment|2021-12-22|715.95|dollar
P_842|payment|2022-04-16|865.48|dollar
P_843|payment|2021-09-11|807.43|dollar
P_844|payment|2021-03-25|758.04|dollar
P_845|payment|2021-12-27|627.59|dollar
P_846|payment|2021-01-20|787.38|dollar
P_847|payment|2021-08-24|105.02|dollar
P_850|payment|2022-02-02|569.78|dollar
P_853|payment|2021-11-16|496.13|dollar
P_856|payment|2022-03-16|622.08|dollar
P_858|payment|2022-04-30|809.71|dollar
P_859|payment|2021-10-21|819.15|dollar
P_861|payment|2021-04-03|496.63|dollar
P_863|payment|2021-10-09|582.62|dollar
P_868|payment|2022-02-27|163.74|dollar
P_872|payment|2022-03-27|703.94|dollar
P_873|payment|2022-03-19|751.51|dollar
P_874|payment|2021-11-09|11.92|dollar
P_875|payment|2021-10-25|406.72|dollar
P_876|payment|2021-04-13|370.0|dollar
P_880|payment|2022-03-16|926.47|dollar
P_885|payment|2022-03-10|530.35|dollar
P_887|payment|2022-02-17|909.91|dollar
P_889|payment|2021-06-12|784.19|dollar
P_892|payment|2021-04-23|580.87|dollar
P_896|payment|2021-02-07|29.27|dollar
P_899|payment|2021-03-30|413.98|dollar
P_901|payment|2021-07-21|546.56|dollar
P_909|payment|2021-08-03|914.04|dollar
P_910|payment|2021-06-13|525.13|dollar
P_911|payment|2021-11-01|8.26|dollar
P_913|payment|2021-02-08|185.0|dollar
P_914|payment|2021-09-03|635.75|dollar
P_916|payment|2021-09-16|117.88|dollar
P_918|payment|2021-08-12|455.41|dollar
P_919|payment|2022-04-04|985.96|dollar
P_921|payment|2021-12-20|255.34|dollar
P_923|payment|2021-12-27|919.19|dollar
P_924|payment|2021-01-14|108.22|dollar
P_925|payment|2021-02-05|341.22|dollar
P_926|payment|2021-08-05|56.07|dollar
P_927|payment|2021-07-01|268.34|dollar
P_928|payment|2021-08-09|630.57|dollar
P_931|payment|2021-06-02|925.96|dollar
P_934|payment|2022-03-28|501.28|dollar
P_935|payment|2021-03-19|404.66|dollar
P_937|payment|2021-10-07|832.49|dollar
P_940|payment|2021-06-20|658.22|dollar
P_943|payment|2022-02-06|15.4|dollar
P_945|payment|2021-07-12|871.94|dollar
P_946|payment|2021-02-13|971.45|dollar
P_951|payment|2021-05-09|286.17|dollar
P_952|payment|2022-02-08|992.81|dollar
P_953|payment|2022-03-03|33.66|dollar
P_954|payment|2022-04-05|915.23|dollar
P_955|payment|2021-03-28|576.84|dollar
P_957|payment|2021-08-22|183.43|dollar
P_962|payment|2022-03-29|42.22|dollar
P_963|payment|2021-04-04|794.25|dollar
P_966|payment|2021-02-13|992.78|dollar
P_972|payment|2021-01-31|58.86|dollar
P_974|payment|2021-02-03|540.09|dollar
P_977|payment|2021-12-14|849.26|dollar
P_978|payment|2021-04-16|965.18|dollar
P_985|payment|2021-04-15|650.72|dollar
P_989|payment|2022-03-03|304.91|dollar
P_990|payment|2021-04-15|415.01|dollar
P_993|payment|2021-08-20|121.02|dollar
P_995|payment|2021-01-05|673.49|dollar
P_996|payment|2021-02-16|351.28|dollar
P_997|payment|2021-10-10|161.54|dollar
P_998|payment|2021-02-09|982.73|dollar
P_999|payment|2021-05-26|327.52|dollar
P_1000|payment|2021-05-04|590.12|dollar
P_1001|payment|2021-11-20|620.96|dollar
P_1002|payment|2021-07-18|900.29|dollar
P_1005|payment|2021-11-20|756.59|dollar
P_1006|payment|2022-03-28|617.13|dollar
P_1010|payment|2021-01-27|210.93|dollar
P_1011|payment|2022-03-11|425.48|dollar
P_1012|payment|2022-01-27|568.12|dollar
P_1015|payment|2021-12-27|838.54|dollar
P_1018|payment|2021-04-12|927.65|dollar
P_1020|payment|2021-06-15|73.79|dollar
P_1021|payment|2022-03-07|234.21|dollar
P_1025|payment|2021-02-21|683.05|dollar
P_1026|payment|2021-07-01|42.34|dollar
P_1027|payment|2021-04-15|296.59|dollar
P_1029|payment|2021-04-20|761.35|dollar
P_1030|payment|2021-05-03|146.91|dollar
P_1031|payment|2022-01-16|634.17|dollar
P_1034|payment|2021-11-10|565.41|dollar
P_1035|payment|2021-06-04|290.59|dollar
P_1037|payment|2021-07-14|357.85|dollar
P_1038|payment|2021-11-18|423.73|dollar
P_1041|payment|2022-02-10|410.96|dollar
P_1046|payment|2022-01-26|839.19|dollar
P_1051|payment|2021-10-04|282.56|dollar
P_1055|payment|2021-05-24|811.43|dollar
P_1057|payment|2021-04-25|172.67|dollar
P_1058|payment|2021-06-10|748.1|dollar
P_1059|payment|2021-12-29|921.89|dollar
P_1061|payment|2022-02-08|349.55|dollar
P_1062|payment|2021-11-16|128.6|dollar
P_1063|payment|2021-04-08|372.83|dollar
P_1069|payment|2022-04-07|311.77|dollar
P_1070|payment|2021-10-13|927.46|dollar
P_1071|payment|2022-01-02|3.07|dollar
P_1072|payment|2021-07-11|786.26|dollar
P_1073|payment|2021-11-11|820.23|dollar
P_1074|payment|2021-09-27|688.08|dollar
P_1075|payment|2021-11-17|735.27|dollar
P_1076|payment|2021-03-17|207.73|dollar
P_1079|payment|2022-02-18|15.73|dollar
P_1081|payment|2021-11-03|21.54|dollar
P_1084|payment|2021-01-19|726.1|dollar
P_1085|payment|2021-12-11|568.83|dollar
P_1087|payment|2022-04-25|161.71|dollar
P_1088|payment|2021-05-09|54.28|dollar
P_1092|payment|2022-04-08|924.07|dollar
P_1094|payment|2021-07-09|558.33|dollar
P_1095|payment|2021-11-24|198.55|dollar
P_1096|payment|2021-09-27|645.03|dollar
P_1098|payment|2022-03-24|922.34|dollar
P_1099|payment|2021-09-06|118.51|dollar
P_1100|payment|2021-07-22|563.12|dollar
P_1104|payment|2021-03-06|776.21|dollar
P_1107|payment|2021-10-28|829.84|dollar
P_1108|payment|2021-10-18|45.2|dollar
P_1109|payment|2021-01-02|583.69|dollar
P_1110|payment|2021-04-15|542.64|dollar
P_1111|payment|2021-01-02|845.94|dollar
P_1112|payment|2021-02-16|437.16|dollar
P_1114|payment|2021-04-24|960.75|dollar
P_1115|payment|2021-02-28|971.13|dollar
P_1116|payment|2021-07-29|996.62|dollar
P_1117|payment|2021-01-02|211.78|dollar
P_1122|payment|2021-11-14|536.32|dollar
P_1123|payment|2021-02-12|64.9|dollar
P_1124|payment|2021-02-18|970.03|dollar
P_1126|payment|2021-12-06|369.86|dollar
P_1128|payment|2021-01-17|738.09|dollar
P_1129|payment|2021-02-07|864.86|dollar
P_1130|payment|2022-04-16|403.96|dollar
P_1131|payment|2021-08-03|14.84|dollar
P_1132|payment|2021-10-25|665.52|dollar
P_1133|payment|2021-06-22|707.21|dollar
P_1134|payment|2021-01-14|363.31|dollar
P_1137|payment|2022-02-11|813.75|dollar
P_1138|payment|2022-02-17|554.42|dollar
P_1140|payment|2021-08-07|312.9|dollar
P_1142|payment|2022-03-10|833.33|dollar
P_1144|payment|2021-04-11|695.93|dollar
P_1145|payment|2021-04-08|762.61|dollar
P_1149|payment|2022-03-05|31.03|dollar
P_1150|payment|2021-09-28|922.4|dollar
P_1152|payment|2021-06-14|975.66|dollar
P_1153|payment|2021-09-16|15.15|dollar
P_1154|payment|2022-03-15|264.06|dollar
P_1156|payment|2021-06-14|589.16|dollar
P_1158|payment|2021-03-16|699.57|dollar
P_1162|payment|2021-10-04|718.58|dollar
P_1165|payment|2021-05-08|540.02|dollar
P_1166|payment|2022-02-28|915.78|dollar
P_1167|payment|2021-01-18|688.14|dollar
P_1168|payment|2022-01-02|185.43|dollar
P_1169|payment|2022-01-04|258.84|dollar
P_1171|payment|2021-04-20|768.79|dollar
P_1172|payment|2021-03-24|825.47|dollar
P_1173|payment|2021-03-10|857.71|dollar
P_1177|payment|2021-03-22|913.93|dollar
P_1179|payment|2021-01-09|766.91|dollar
P_1180|payment|2021-01-07|287.01|dollar
P_1181|payment|2021-11-09|126.24|dollar
P_1185|payment|2022-03-03|914.54|dollar
P_1187|payment|2021-03-12|878.59|dollar
P_1190|payment|2021-02-10|993.73|dollar
P_1193|payment|2022-04-08|87.47|dollar
P_1196|payment|2021-07-12|170.46|dollar
P_1197|payment|2021-01-15|303.13|dollar
P_1199|payment|2021-03-24|408.16|dollar
P_1200|payment|2022-03-24|234.34|dollar
P_1203|payment|2021-11-12|559.04|dollar
P_1205|payment|2022-03-01|624.17|dollar
P_1207|payment|2022-01-15|787.96|dollar
P_1208|payment|2021-05-27|783.43|dollar
P_1210|payment|2021-06-11|210.72|dollar
P_1211|payment|2021-06-28|134.64|dollar
P_1212|payment|2021-04-10|971.72|dollar
P_1214|payment|2021-01-16|415.24|dollar
P_1219|payment|2021-06-04|162.07|dollar
P_1221|payment|2021-05-27|954.39|dollar
P_1222|payment|2021-06-04|764.33|dollar
P_1226|payment|2021-12-20|737.98|dollar
P_1227|payment|2021-06-05|493.8|dollar
P_1228|payment|2021-11-23|886.34|dollar
P_1229|payment|2022-03-30|54.38|dollar
P_1231|payment|2021-04-18|423.86|dollar
P_1235|payment|2021-10-10|680.36|dollar
P_1237|payment|2022-04-07|60.01|dollar
P_1238|payment|2022-03-15|989.33|dollar
P_1239|payment|2021-12-10|466.26|dollar
P_1241|payment|2021-09-28|16.79|dollar
P_1244|payment|2022-01-05|10.03|dollar
P_1245|payment|2021-08-05|430.49|dollar
P_1246|payment|2021-07-21|844.81|dollar
P_1251|payment|2021-11-24|592.01|dollar
P_1256|payment|2021-12-20|308.63|dollar
P_1258|payment|2021-02-03|744.99|dollar
P_1259|payment|2021-12-14|114.23|dollar
P_1260|payment|2022-02-19|480.37|dollar
P_1261|payment|2021-09-22|524.52|dollar
P_1263|payment|2022-01-19|84.07|dollar
P_1264|payment|2021-06-27|810.35|dollar
P_1265|payment|2021-07-22|936.97|dollar
