ID|LABEL|POLICY_ID|CLAIMANT_ID|ATTORNEY_ID|AMOUNT|CLAIM_DATE|CAPITAL_GAINS|CAPITAL_LOSS|WITNESSES
D_13.0|claim|Q_0.12|C_300|X_28|861.09|2022-04-23|274.82|403.55|4
D_13.1|claim|Q_0.12|C_0|X_19|743.38|2021-12-01|695.27|912.18|2
D_13.2|claim|Q_0.12|C_4100|X_5|612.43|2022-02-08|101.05|67.01|5
D_14.0|claim|Q_0.13|C_4000|X_39|908.0|2021-03-29|225.92|390.81|1
D_14.1|claim|Q_0.13|C_2200|X_18|678.0|2021-08-10|593.87|671.36|1
D_15.0|claim|Q_0.14|C_3900|X_6|762.48|2021-01-06|542.81|209.43|1
D_16.0|claim|Q_0.15|C_3700|X_48|948.0|2021-09-19|770.89|31.84|5
D_17.0|claim|Q_0.16|C_3300|X_18|123.83|2022-02-16|357.55|476.72|2
D_17.1|claim|Q_0.16|C_4800|X_23|527.46|2021-12-17|153.69|235.3|0
D_17.2|claim|Q_0.16|C_4800|X_20|973.2|2021-11-16|792.31|124.09|2
D_17.3|claim|Q_0.16|C_200|X_42|923.13|2021-08-06|279.19|405.29|0
D_19.0|claim|Q_0.18|C_1700|X_17|980.79|2021-09-04|724.82|290.35|1
D_19.1|claim|Q_0.18|C_0|X_27|503.88|2021-05-12|391.84|245.91|4
D_20.0|claim|Q_0.19|C_3800|X_46|657.56|2021-10-08|226.62|312.61|2
D_20.1|claim|Q_0.19|C_1800|X_13|977.07|2021-03-20|622.32|831.64|4
D_20.2|claim|Q_0.19|C_4200|X_47|611.55|2021-08-18|996.89|81.24|5
D_20.3|claim|Q_0.19|C_700|X_11|487.94|2021-10-25|58.72|153.31|3
D_20.4|claim|Q_0.19|C_2000|X_17|610.86|2021-12-18|358.03|445.16|4
D_21.0|claim|Q_0.20|C_4600|X_34|956.09|2021-06-03|957.94|792.42|3
D_21.1|claim|Q_0.20|C_3500|X_2|859.81|2021-03-08|188.38|367.49|4
D_22.0|claim|Q_0.21|C_1600|X_13|606.12|2021-10-11|66.35|727.93|3
D_23.0|claim|Q_0.22|C_2700|X_50|832.47|2021-11-06|890.91|262.58|5
D_23.1|claim|Q_0.22|C_2800|X_3|633.66|2022-03-18|524.14|907.6|3
D_23.2|claim|Q_0.22|C_3500|X_28|160.02|2021-11-16|681.88|560.5|4
D_23.3|claim|Q_0.22|C_2600|X_10|609.43|2022-01-20|931.35|143.32|4
D_24.0|claim|Q_0.23|C_3100|X_16|806.17|2021-10-04|668.59|958.61|2
D_24.1|claim|Q_0.23|C_300|X_41|400.0|2021-07-16|286.72|673.34|3
D_24.2|claim|Q_0.23|C_2700|X_34|387.38|2021-10-26|424.96|442.45|2
D_25.0|claim|Q_0.24|C_4400|X_5|518.27|2021-12-03|932.75|142.87|3
D_26.0|claim|Q_0.25|C_4800|X_50|205.12|2021-12-18|921.8|671.22|1
D_26.1|claim|Q_0.25|C_300|X_44|812.68|2021-07-28|741.77|964.9|4
D_27.0|claim|Q_0.26|C_1900|X_5|620.08|2022-01-02|117.73|673.76|1
D_28.0|claim|Q_0.27|C_300|X_10|914.97|2021-09-08|460.84|711.63|2
D_28.1|claim|Q_0.27|C_3200|X_3|628.27|2021-11-15|857.75|125.27|4
D_28.2|claim|Q_0.27|C_4600|X_49|193.41|2022-04-04|752.84|444.03|3
D_29.0|claim|Q_0.28|C_2500|X_17|188.63|2021-05-03|623.84|380.4|4
D_29.1|claim|Q_0.28|C_1900|X_38|700.9|2021-05-10|198.17|181.16|2
D_29.2|claim|Q_0.28|C_2800|X_30|782.29|2021-07-22|325.92|693.3|2
D_29.3|claim|Q_0.28|C_600|X_31|568.31|2022-02-25|965.26|334.03|1
D_30.0|claim|Q_0.29|C_1700|X_11|404.24|2021-05-29|461.51|85.33|4
D_30.1|claim|Q_0.29|C_2200|X_12|866.78|2021-10-19|329.37|652.35|0
D_31.0|claim|Q_0.30|C_1600|X_16|473.5|2021-10-03|65.77|344.89|1
D_31.1|claim|Q_0.30|C_3100|X_3|574.92|2021-11-07|395.73|599.25|3
D_31.2|claim|Q_0.30|C_3000|X_30|289.47|2022-03-30|237.72|346.29|2
D_31.3|claim|Q_0.30|C_2700|X_38|972.41|2021-01-25|298.46|139.78|3
D_32.0|claim|Q_0.31|C_500|X_4|741.59|2021-12-15|610.75|266.62|5
D_32.1|claim|Q_0.31|C_5000|X_27|627.82|2021-02-18|465.96|941.2|3
D_32.2|claim|Q_0.31|C_4800|X_20|769.41|2022-04-29|847.89|196.36|1
D_32.3|claim|Q_0.31|C_2800|X_24|841.28|2022-04-25|680.82|710.02|4
D_32.4|claim|Q_0.31|C_1000|X_38|781.48|2021-09-09|22.81|671.09|5
D_33.0|claim|Q_0.32|C_3300|X_45|305.35|2021-05-11|218.58|198.38|1
D_33.1|claim|Q_0.32|C_4100|X_34|576.95|2021-07-21|450.91|442.77|2
D_33.2|claim|Q_0.32|C_4200|X_24|631.52|2022-02-13|778.01|83.77|4
D_33.3|claim|Q_0.32|C_800|X_44|569.01|2021-06-24|381.71|657.7|5
D_34.0|claim|Q_0.33|C_1400|X_21|514.1|2021-12-07|844.47|752.24|5
D_34.1|claim|Q_0.33|C_4200|X_30|448.87|2021-10-16|531.36|609.7|5
D_36.0|claim|Q_0.35|C_3500|X_9|219.27|2021-04-09|852.41|924.78|2
D_36.1|claim|Q_0.35|C_800|X_42|516.96|2021-04-09|378.19|413.84|4
D_37.0|claim|Q_0.36|C_4000|X_8|298.39|2021-11-08|119.66|416.63|3
D_37.1|claim|Q_0.36|C_1100|X_35|759.0|2021-01-09|778.28|620.67|5
D_37.2|claim|Q_0.36|C_3100|X_44|349.76|2021-03-28|213.68|558.46|4
D_38.0|claim|Q_0.37|C_2100|X_30|414.23|2021-07-26|857.68|38.45|0
D_38.1|claim|Q_0.37|C_4200|X_19|839.27|2021-04-14|730.59|128.71|1
D_38.2|claim|Q_0.37|C_4700|X_32|717.69|2021-02-02|536.31|525.6|1
D_39.0|claim|Q_0.38|C_3700|X_27|323.62|2021-01-27|116.31|126.99|0
D_39.1|claim|Q_0.38|C_800|X_17|155.24|2021-04-12|163.15|429.0|5
D_40.0|claim|Q_0.39|C_600|X_22|277.39|2021-03-17|112.41|77.77|3
D_40.1|claim|Q_0.39|C_2400|X_16|294.16|2021-05-27|513.94|248.01|5
D_40.2|claim|Q_0.39|C_4100|X_5|841.36|2021-12-18|141.77|241.01|2
D_42.0|claim|Q_0.41|C_3500|X_39|752.94|2021-04-29|586.39|222.96|4
D_43.0|claim|Q_0.42|C_3500|X_47|104.69|2021-07-22|811.02|330.22|5
D_44.0|claim|Q_0.43|C_4400|X_5|286.27|2022-02-03|519.47|743.4|2
D_44.1|claim|Q_0.43|C_500|X_35|447.12|2021-02-26|498.03|260.4|2
D_44.2|claim|Q_0.43|C_0|X_18|131.04|2022-03-02|763.97|807.62|0
D_45.0|claim|Q_0.44|C_3600|X_38|979.73|2021-12-26|574.3|275.42|0
D_46.0|claim|Q_0.45|C_3400|X_40|228.0|2022-03-06|914.66|569.2|0
D_46.1|claim|Q_0.45|C_400|X_2|312.5|2021-12-13|60.18|151.9|5
D_46.2|claim|Q_0.45|C_2200|X_14|698.64|2022-03-17|285.15|667.03|2
D_46.3|claim|Q_0.45|C_1800|X_0|709.87|2021-01-12|648.0|679.72|5
D_46.4|claim|Q_0.45|C_1900|X_41|906.74|2021-02-02|381.25|647.47|5
D_47.0|claim|Q_0.46|C_2400|X_13|862.17|2021-09-30|528.6|807.62|3
D_47.1|claim|Q_0.46|C_4700|X_39|732.05|2021-08-23|113.77|79.85|2
D_47.2|claim|Q_0.46|C_3100|X_41|970.56|2021-11-08|22.21|742.8|4
D_48.0|claim|Q_0.47|C_3800|X_31|241.63|2021-04-28|578.69|655.5|3
D_48.1|claim|Q_0.47|C_1500|X_50|607.55|2022-04-23|500.7|824.53|0
D_48.2|claim|Q_0.47|C_4500|X_50|448.39|2022-04-28|766.49|505.52|5
D_48.3|claim|Q_0.47|C_4800|X_0|512.75|2021-05-08|296.19|652.67|3
D_49.0|claim|Q_0.48|C_1800|X_49|124.71|2021-01-22|769.45|326.75|5
D_49.1|claim|Q_0.48|C_3800|X_44|721.34|2021-08-02|401.05|607.25|3
D_49.2|claim|Q_0.48|C_3000|X_28|986.78|2021-11-25|155.83|61.04|3
D_49.3|claim|Q_0.48|C_4300|X_20|389.4|2021-05-06|920.67|946.79|5
D_49.4|claim|Q_0.48|C_1600|X_32|729.08|2022-02-05|84.0|56.72|5
D_50.0|claim|Q_0.49|C_1600|X_22|762.28|2021-04-26|935.2|100.61|2
D_52.0|claim|Q_0.51|C_2300|X_7|181.61|2022-01-11|633.14|838.06|4
D_52.1|claim|Q_0.51|C_3100|X_29|263.45|2021-06-30|538.93|321.21|1
D_53.0|claim|Q_0.52|C_1300|X_35|704.2|2021-06-26|757.68|593.01|1
D_54.0|claim|Q_0.53|C_2000|X_38|878.28|2021-05-04|551.72|832.82|2
D_54.1|claim|Q_0.53|C_4800|X_1|598.83|2021-10-15|128.15|767.75|1
D_54.2|claim|Q_0.53|C_4400|X_25|251.27|2021-08-16|329.78|602.17|3
D_55.0|claim|Q_0.54|C_2300|X_6|666.57|2022-01-09|209.53|61.88|0
D_55.1|claim|Q_0.54|C_2100|X_33|257.95|2021-04-09|456.18|288.05|3
D_55.2|claim|Q_0.54|C_3800|X_39|855.77|2021-11-15|310.91|823.28|2
D_55.3|claim|Q_0.54|C_1600|X_31|765.51|2021-09-04|815.77|622.77|5
D_56.0|claim|Q_0.55|C_4400|X_36|859.13|2021-06-17|931.16|598.62|1
D_56.1|claim|Q_0.55|C_3300|X_45|111.82|2022-04-15|22.07|956.39|1
D_56.2|claim|Q_0.55|C_600|X_48|385.59|2021-07-04|642.06|74.21|3
D_57.0|claim|Q_0.56|C_1100|X_0|783.28|2022-01-21|157.35|543.0|4
D_58.0|claim|Q_0.57|C_400|X_38|893.67|2021-01-19|367.75|319.99|2
D_58.1|claim|Q_0.57|C_4200|X_41|717.15|2022-03-25|635.16|475.31|5
D_58.2|claim|Q_0.57|C_3600|X_39|137.81|2022-01-15|426.64|171.3|0
D_58.3|claim|Q_0.57|C_900|X_8|761.94|2021-09-01|613.37|832.11|1
D_58.4|claim|Q_0.57|C_1100|X_28|563.76|2021-09-05|308.48|879.02|3
D_59.0|claim|Q_0.58|C_4500|X_7|961.48|2021-11-24|65.65|539.84|2
D_60.0|claim|Q_0.59|C_3400|X_43|363.42|2021-11-29|470.61|171.9|5
D_60.1|claim|Q_0.59|C_0|X_1|343.42|2021-07-24|343.73|492.66|4
D_60.2|claim|Q_0.59|C_600|X_24|720.14|2022-04-13|59.41|906.3|5
D_60.3|claim|Q_0.59|C_4200|X_31|693.31|2021-04-30|229.82|654.7|2
D_60.4|claim|Q_0.59|C_4700|X_21|778.8|2021-06-02|854.32|612.22|1
D_61.0|claim|Q_0.60|C_4400|X_29|405.51|2021-11-09|181.31|907.77|1
D_61.1|claim|Q_0.60|C_4800|X_6|215.47|2022-01-22|370.74|94.3|4
D_61.2|claim|Q_0.60|C_1800|X_45|194.67|2021-01-13|170.22|557.99|3
D_61.3|claim|Q_0.60|C_4000|X_28|567.95|2021-06-21|96.69|197.6|4
D_61.4|claim|Q_0.60|C_2400|X_25|430.42|2022-04-28|613.89|303.5|2
D_63.0|claim|Q_0.62|C_3800|X_30|914.01|2021-10-15|421.4|683.43|2
D_63.1|claim|Q_0.62|C_100|X_32|895.36|2021-04-07|603.94|286.4|4
D_63.2|claim|Q_0.62|C_5000|X_47|205.64|2021-12-18|924.97|790.1|3
D_64.0|claim|Q_0.63|C_2200|X_24|147.02|2022-04-15|695.91|338.61|5
D_64.1|claim|Q_0.63|C_4100|X_20|245.69|2021-11-17|804.67|620.63|0
D_64.2|claim|Q_0.63|C_2500|X_28|969.33|2021-07-25|514.68|90.61|0
D_65.0|claim|Q_0.64|C_1600|X_12|958.38|2022-03-18|892.25|304.71|0
D_65.1|claim|Q_0.64|C_4700|X_9|422.35|2021-06-03|831.87|547.39|1
D_65.2|claim|Q_0.64|C_3800|X_25|338.82|2021-08-01|404.11|320.2|1
D_65.3|claim|Q_0.64|C_3800|X_11|346.77|2021-04-21|524.97|193.58|2
D_65.4|claim|Q_0.64|C_1500|X_45|590.82|2021-11-09|613.85|406.8|0
D_67.0|claim|Q_0.66|C_4200|X_21|741.28|2021-12-24|553.48|624.4|2
D_68.0|claim|Q_0.67|C_3800|X_13|657.75|2021-03-29|323.95|87.23|0
D_69.0|claim|Q_0.68|C_900|X_3|801.05|2021-11-17|636.5|187.3|2
D_69.1|claim|Q_0.68|C_1900|X_4|850.81|2021-01-30|850.9|809.37|3
D_69.2|claim|Q_0.68|C_4300|X_34|480.19|2021-12-26|529.74|229.08|5
D_69.3|claim|Q_0.68|C_5000|X_4|482.5|2022-01-30|983.78|759.66|4
D_69.4|claim|Q_0.68|C_4300|X_18|758.74|2022-04-02|700.78|110.33|5
D_71.0|claim|Q_0.70|C_4300|X_47|952.28|2021-08-18|316.5|42.48|1
D_71.1|claim|Q_0.70|C_4800|X_21|684.37|2022-02-10|85.78|175.05|1
D_71.2|claim|Q_0.70|C_0|X_26|750.24|2022-02-19|284.61|604.69|2
D_73.0|claim|Q_0.72|C_4300|X_23|728.5|2021-04-23|971.37|190.65|5
D_73.1|claim|Q_0.72|C_2000|X_0|194.49|2021-09-02|273.55|248.15|0
D_73.2|claim|Q_0.72|C_4100|X_11|211.0|2022-01-27|269.71|434.38|0
D_73.3|claim|Q_0.72|C_100|X_24|508.86|2021-06-16|649.06|711.33|2
D_73.4|claim|Q_0.72|C_1100|X_48|687.17|2021-02-10|307.14|520.91|2
D_74.0|claim|Q_0.73|C_1700|X_19|772.16|2021-08-17|409.45|713.23|0
D_75.0|claim|Q_0.74|C_2300|X_45|487.55|2021-06-28|414.79|230.18|0
D_75.1|claim|Q_0.74|C_100|X_35|401.93|2021-01-26|557.34|709.0|2
D_75.2|claim|Q_0.74|C_1700|X_39|248.4|2021-11-04|36.46|269.12|3
D_75.3|claim|Q_0.74|C_1400|X_20|896.51|2021-06-16|728.29|646.04|0
D_76.0|claim|Q_0.75|C_700|X_28|285.1|2021-10-05|302.67|961.97|3
D_76.1|claim|Q_0.75|C_900|X_3|402.61|2021-05-04|709.07|685.21|0
D_76.2|claim|Q_0.75|C_2000|X_35|567.51|2022-04-09|200.21|252.86|0
D_77.0|claim|Q_0.76|C_4700|X_32|585.7|2021-07-01|392.86|547.23|2
D_77.1|claim|Q_0.76|C_2900|X_13|667.08|2021-05-01|621.0|31.89|1
D_77.2|claim|Q_0.76|C_3500|X_42|723.6|2021-08-24|538.5|944.45|1
D_77.3|claim|Q_0.76|C_3300|X_21|332.15|2022-04-15|11.17|372.27|4
D_77.4|claim|Q_0.76|C_3900|X_9|644.89|2021-02-22|153.62|359.64|2
D_78.0|claim|Q_0.77|C_3200|X_25|247.38|2021-03-15|282.01|885.24|0
D_78.1|claim|Q_0.77|C_100|X_44|743.11|2021-08-06|251.2|549.89|1
D_78.2|claim|Q_0.77|C_400|X_9|446.23|2021-09-16|477.55|217.69|1
D_78.3|claim|Q_0.77|C_1300|X_24|457.98|2021-11-15|304.99|325.29|5
D_78.4|claim|Q_0.77|C_3500|X_43|161.85|2021-02-12|414.63|798.91|1
D_79.0|claim|Q_0.78|C_3100|X_12|583.67|2022-01-20|955.54|23.23|5
D_80.0|claim|Q_0.79|C_4600|X_9|593.86|2021-10-21|201.86|159.51|4
D_80.1|claim|Q_0.79|C_1900|X_7|185.76|2021-04-20|293.52|439.75|2
D_80.2|claim|Q_0.79|C_2400|X_28|556.88|2021-09-06|229.54|460.41|3
D_80.3|claim|Q_0.79|C_4800|X_48|982.04|2021-07-06|681.3|877.6|1
D_80.4|claim|Q_0.79|C_1400|X_3|294.55|2021-08-04|214.59|604.16|2
D_81.0|claim|Q_0.80|C_3800|X_38|576.61|2021-11-15|790.88|701.08|3
D_81.1|claim|Q_0.80|C_1900|X_37|596.44|2021-03-25|801.5|118.73|2
D_81.2|claim|Q_0.80|C_4000|X_37|511.19|2021-09-21|467.5|337.76|1
D_81.3|claim|Q_0.80|C_400|X_20|432.52|2021-05-13|306.32|963.47|1
D_82.0|claim|Q_0.81|C_1200|X_17|257.19|2022-01-03|530.68|496.99|2
D_82.1|claim|Q_0.81|C_2500|X_46|822.52|2021-10-17|506.02|161.04|2
D_82.2|claim|Q_0.81|C_3500|X_45|881.42|2022-03-16|424.43|199.61|0
D_83.0|claim|Q_0.82|C_4200|X_40|856.09|2021-02-13|752.76|831.28|1
D_83.1|claim|Q_0.82|C_0|X_8|540.93|2021-03-28|760.99|868.57|0
D_83.2|claim|Q_0.82|C_2400|X_10|481.09|2021-12-05|1.16|86.57|5
D_85.0|claim|Q_0.84|C_4600|X_26|896.86|2021-10-20|278.72|934.97|0
D_85.1|claim|Q_0.84|C_2700|X_5|329.74|2022-03-13|140.13|322.02|2
D_85.2|claim|Q_0.84|C_0|X_36|259.11|2022-04-22|349.22|968.38|4
D_85.3|claim|Q_0.84|C_900|X_45|260.95|2021-11-26|687.27|984.17|2
D_86.0|claim|Q_0.85|C_200|X_22|346.01|2021-10-08|49.52|721.27|4
D_86.1|claim|Q_0.85|C_2500|X_21|222.15|2021-12-02|922.21|973.59|5
D_86.2|claim|Q_0.85|C_1200|X_39|763.76|2021-08-16|675.91|419.33|4
D_86.3|claim|Q_0.85|C_4800|X_49|225.26|2021-05-02|38.21|622.98|1
D_86.4|claim|Q_0.85|C_1100|X_12|711.68|2021-05-30|454.36|595.84|4
D_87.0|claim|Q_0.86|C_4300|X_32|131.15|2022-02-12|439.92|38.86|0
D_87.1|claim|Q_0.86|C_4500|X_18|365.97|2021-06-14|993.13|913.75|3
D_87.2|claim|Q_0.86|C_3900|X_30|729.81|2021-06-15|859.51|239.58|5
D_87.3|claim|Q_0.86|C_3200|X_28|929.96|2022-02-23|461.16|546.46|0
D_87.4|claim|Q_0.86|C_1700|X_39|229.61|2021-09-30|56.34|980.66|4
D_88.0|claim|Q_0.87|C_3200|X_47|409.2|2022-02-02|581.42|448.37|0
D_88.1|claim|Q_0.87|C_4100|X_13|547.01|2021-08-02|419.39|597.84|4
D_88.2|claim|Q_0.87|C_3000|X_13|904.74|2022-02-09|552.64|482.82|0
D_88.3|claim|Q_0.87|C_900|X_41|506.69|2021-12-06|954.95|572.58|5
D_88.4|claim|Q_0.87|C_4200|X_15|719.23|2022-03-13|468.36|151.64|2
D_90.0|claim|Q_0.89|C_4100|X_50|967.87|2022-04-07|728.84|83.33|4
D_90.1|claim|Q_0.89|C_1600|X_50|883.47|2022-02-12|815.73|235.27|3
D_90.2|claim|Q_0.89|C_1300|X_37|177.48|2022-04-23|545.75|654.04|5
D_91.0|claim|Q_0.90|C_800|X_30|291.14|2021-12-09|328.05|435.7|2
D_91.1|claim|Q_0.90|C_700|X_43|651.79|2022-03-03|679.16|785.32|4
D_91.2|claim|Q_0.90|C_4100|X_11|692.22|2021-10-24|329.61|963.74|3
D_92.0|claim|Q_0.91|C_1000|X_38|983.76|2021-03-12|724.17|929.02|3
D_92.1|claim|Q_0.91|C_500|X_22|575.58|2022-03-07|223.72|906.06|5
D_92.2|claim|Q_0.91|C_3400|X_41|751.52|2021-08-13|351.96|175.27|2
D_92.3|claim|Q_0.91|C_5000|X_34|767.72|2021-04-28|160.85|420.16|5
D_93.0|claim|Q_0.92|C_4100|X_43|668.56|2021-03-11|521.55|401.7|3
D_93.1|claim|Q_0.92|C_4600|X_19|762.21|2021-12-27|751.02|332.7|3
D_94.0|claim|Q_0.93|C_4500|X_27|324.57|2021-11-10|328.33|233.84|3
D_94.1|claim|Q_0.93|C_300|X_41|287.83|2021-02-10|906.2|52.67|0
D_94.2|claim|Q_0.93|C_2800|X_19|817.37|2021-04-14|509.68|798.14|5
D_94.3|claim|Q_0.93|C_3100|X_3|253.67|2021-02-22|106.74|847.51|4
D_95.0|claim|Q_0.94|C_1900|X_39|709.11|2021-10-28|344.47|556.84|0
D_95.1|claim|Q_0.94|C_1900|X_1|235.46|2021-06-04|429.23|144.41|1
D_95.2|claim|Q_0.94|C_2700|X_16|862.92|2022-04-10|6.27|716.74|0
D_95.3|claim|Q_0.94|C_1200|X_2|122.43|2022-03-03|202.75|593.27|2
D_96.0|claim|Q_0.95|C_3500|X_24|834.42|2022-04-06|582.48|85.04|5
D_96.1|claim|Q_0.95|C_2200|X_4|767.47|2021-10-22|252.71|116.16|4
D_96.2|claim|Q_0.95|C_2400|X_48|184.96|2021-01-27|64.1|839.04|1
D_96.3|claim|Q_0.95|C_3600|X_39|837.27|2022-03-13|671.5|8.16|4
D_97.0|claim|Q_0.96|C_800|X_19|374.26|2021-02-20|38.58|540.74|1
D_97.1|claim|Q_0.96|C_300|X_29|928.87|2021-11-06|969.81|804.08|5
D_97.2|claim|Q_0.96|C_900|X_13|882.13|2021-07-25|743.35|311.12|4
D_99.0|claim|Q_0.98|C_800|X_15|676.13|2021-09-20|694.43|408.91|0
D_99.1|claim|Q_0.98|C_3400|X_2|771.37|2022-01-16|817.6|967.66|0
D_102.0|claim|Q_1.2|C_2400|X_49|843.13|2021-01-12|895.32|506.63|5
D_102.1|claim|Q_1.2|C_1400|X_3|280.59|2022-02-27|846.86|827.49|1
D_102.2|claim|Q_1.2|C_2600|X_0|829.58|2022-03-07|953.23|421.29|4
D_102.3|claim|Q_1.2|C_1000|X_0|300.83|2021-07-21|604.88|37.88|5
D_102.4|claim|Q_1.2|C_2600|X_23|188.8|2021-01-24|981.56|667.59|3
D_103.0|claim|Q_1.3|C_3900|X_0|556.97|2022-03-05|846.95|826.74|1
D_103.1|claim|Q_1.3|C_900|X_17|821.61|2022-02-09|210.13|689.6|2
D_103.2|claim|Q_1.3|C_3600|X_8|678.81|2021-12-30|286.2|522.56|0
D_103.3|claim|Q_1.3|C_1400|X_10|107.99|2021-06-14|93.29|938.33|4
D_103.4|claim|Q_1.3|C_4600|X_26|653.22|2021-11-13|279.18|998.58|2
D_104.0|claim|Q_1.4|C_1000|X_33|346.13|2021-04-19|550.55|580.36|5
D_106.0|claim|Q_1.6|C_2600|X_34|804.82|2022-02-15|393.48|253.65|4
D_108.0|claim|Q_1.8|C_3000|X_5|636.14|2021-10-13|728.31|422.41|4
D_109.0|claim|Q_1.9|C_3000|X_40|846.85|2022-04-10|396.85|769.9|1
D_109.1|claim|Q_1.9|C_200|X_38|829.07|2021-06-18|950.87|951.52|5
D_109.2|claim|Q_1.9|C_1800|X_41|735.02|2022-04-09|944.51|486.69|5
D_109.3|claim|Q_1.9|C_3800|X_45|311.69|2021-07-18|34.74|577.95|2
D_109.4|claim|Q_1.9|C_800|X_49|427.33|2021-04-22|560.73|482.27|4
D_110.0|claim|Q_1.10|C_1800|X_29|934.07|2022-02-20|322.93|358.12|3
D_110.1|claim|Q_1.10|C_2500|X_9|125.42|2021-09-26|426.06|119.52|2
D_111.0|claim|Q_1.11|C_3000|X_11|761.64|2021-10-27|894.28|636.51|3
D_111.1|claim|Q_1.11|C_4300|X_14|279.17|2021-05-09|448.16|122.4|5
D_111.2|claim|Q_1.11|C_2300|X_8|802.97|2021-12-11|752.46|573.12|2
D_111.3|claim|Q_1.11|C_800|X_23|656.56|2021-04-08|757.9|247.1|1
D_111.4|claim|Q_1.11|C_3100|X_49|318.85|2021-11-22|500.37|737.98|5
D_112.0|claim|Q_1.12|C_200|X_50|309.72|2021-11-08|82.04|987.49|0
D_113.0|claim|Q_1.13|C_1300|X_25|584.98|2021-06-15|809.85|781.65|4
D_114.0|claim|Q_1.14|C_4200|X_22|714.92|2021-08-18|718.58|67.58|2
D_114.1|claim|Q_1.14|C_3700|X_42|165.03|2021-07-11|968.97|900.89|5
D_114.2|claim|Q_1.14|C_1700|X_48|125.32|2021-12-21|458.67|882.8|5
D_114.3|claim|Q_1.14|C_200|X_29|193.93|2022-01-13|103.69|386.76|4
D_114.4|claim|Q_1.14|C_3100|X_47|778.7|2021-05-09|808.95|790.78|2
D_116.0|claim|Q_1.16|C_0|X_19|480.34|2021-07-19|646.54|636.06|2
D_118.0|claim|Q_1.18|C_3900|X_32|523.05|2021-10-13|841.63|721.51|0
D_118.1|claim|Q_1.18|C_900|X_12|672.22|2021-05-17|413.97|189.98|1
D_120.0|claim|Q_1.20|C_1300|X_6|802.33|2022-03-12|6.3|15.27|5
D_121.0|claim|Q_1.21|C_800|X_6|772.93|2022-03-19|155.92|708.3|5
D_123.0|claim|Q_1.23|C_2800|X_32|571.2|2021-03-02|409.96|741.1|0
D_123.1|claim|Q_1.23|C_4000|X_6|656.72|2021-08-28|177.05|730.07|5
D_123.2|claim|Q_1.23|C_3700|X_42|833.45|2021-10-11|58.65|872.63|1
D_123.3|claim|Q_1.23|C_4900|X_20|717.53|2021-01-27|101.79|28.33|0
D_125.0|claim|Q_1.25|C_3100|X_33|102.68|2021-04-08|542.8|528.13|2
D_125.1|claim|Q_1.25|C_2000|X_33|325.97|2022-03-24|394.43|986.46|2
D_125.2|claim|Q_1.25|C_3500|X_22|129.02|2021-09-14|893.03|667.21|5
D_125.3|claim|Q_1.25|C_4000|X_41|999.34|2022-01-10|655.48|838.81|4
D_125.4|claim|Q_1.25|C_1800|X_29|379.1|2021-01-04|345.15|692.74|4
D_126.0|claim|Q_1.26|C_4700|X_7|813.8|2021-05-27|682.11|336.3|3
D_126.1|claim|Q_1.26|C_1800|X_26|809.38|2021-11-15|956.61|47.15|4
D_126.2|claim|Q_1.26|C_2400|X_25|772.2|2021-12-12|642.56|209.25|5
