ID|LABEL|POLICY_NUMBER|POLICY_BIND_DATE|POLICY_STATE|POLICY_CSL|POLICY_DEDUCTABLE|POLICY_ANNUAL_PREMIUM|UMBRELLA_LIMIT|AUTO_MAKE|AUTO_YEAR|AGENT_ID|CLAIM_ID
Q_1.49|policy|Q_1.49|2021-11-16|NJ|443.6|17.18|605.27|2158884.37|audi|1983|A_1|
Q_1.50|policy|Q_1.50|2021-03-11|KY|245.75|30.89|489.19|8013136.61|porsche|1982|A_1|
Q_1.51|policy|Q_1.51|2021-04-08|NY|522.62|19.92|606.74|9605386.01|ford|2015|A_1|
Q_1.52|policy|Q_1.52|2022-02-01|ID|330.75|47.3|114.23|3933143.19|ford|1976|A_1|
Q_1.53|policy|Q_1.53|2021-03-04|MN|167.39|63.93|408.5|5922665.5|jeep|2014|A_1|
Q_1.54|policy|Q_1.54|2021-08-31|MA|977.0|29.45|518.37|6613671.0|chevy|1981|A_1|
Q_1.55|policy|Q_1.55|2022-01-11|VT|391.73|26.05|980.99|8336864.19|chevy|1982|A_1|
Q_1.56|policy|Q_1.56|2021-01-05|AK|945.75|64.25|443.01|3418521.61|chevy|2020|A_1|
Q_1.57|policy|Q_1.57|2021-10-20|ME|699.62|14.71|842.83|7466002.62|volvo|1973|A_1|
Q_1.58|policy|Q_1.58|2021-11-06|NY|614.85|27.05|194.98|3974263.46|audi|1992|A_1|
Q_1.59|policy|Q_1.59|2021-10-18|OH|987.62|27.73|581.3|4873862.37|ford|1997|A_1|
Q_1.60|policy|Q_1.60|2021-12-11|LA|321.8|29.12|727.68|1985350.2|volvo|2011|A_1|
Q_1.61|policy|Q_1.61|2022-02-17|DC|415.32|57.62|297.46|369720.35|rivian|1975|A_1|
Q_1.62|policy|Q_1.62|2021-12-18|MA|533.17|90.78|778.32|3660438.6|audi|1989|A_1|
Q_1.63|policy|Q_1.63|2021-03-19|GA|721.97|23.05|360.84|6834047.51|chevy|2013|A_1|
Q_1.64|policy|Q_1.64|2022-04-27|VT|525.12|75.01|369.02|3860167.07|chevy|2003|A_1|
Q_1.65|policy|Q_1.65|2021-02-18|DE|915.45|12.13|507.13|9010622.45|ford|2010|A_1|
Q_1.66|policy|Q_1.66|2021-05-12|DC|970.73|84.51|558.61|5591701.12|canoo|2001|A_1|
Q_1.67|policy|Q_1.67|2021-08-04|WA|646.73|84.53|964.69|4689751.8|jeep|1987|A_1|
Q_1.68|policy|Q_1.68|2021-01-29|VA|539.59|49.67|327.31|962546.96|audi|1992|A_1|
Q_1.69|policy|Q_1.69|2021-11-20|FL|344.0|10.41|423.99|9840992.84|porsche|2007|A_1|
Q_1.70|policy|Q_1.70|2021-07-11|OK|456.39|94.78|428.51|4031909.98|porsche|1989|A_1|
Q_1.71|policy|Q_1.71|2021-05-27|AZ|855.39|98.8|630.1|3735379.51|jeep|1988|A_1|
Q_1.72|policy|Q_1.72|2022-02-08|ID|472.17|10.74|634.35|9895448.79|porsche|1995|A_1|
Q_1.73|policy|Q_1.73|2022-01-08|AL|207.21|95.38|171.06|8111157.46|volvo|1989|A_1|
Q_1.74|policy|Q_1.74|2021-09-11|NY|396.41|90.47|787.65|7305064.99|jeep|1994|A_1|
Q_1.75|policy|Q_1.75|2021-06-22|IA|103.62|19.28|880.45|8482991.8|jeep|2013|A_1|
Q_1.76|policy|Q_1.76|2021-09-09|TN|702.77|74.3|137.49|3684685.82|porsche|1991|A_1|
Q_1.77|policy|Q_1.77|2021-09-17|AL|953.57|81.05|494.27|3266833.9|audi|2017|A_1|
Q_1.78|policy|Q_1.78|2021-03-14|LA|279.04|11.97|881.13|3079044.91|porsche|1981|A_1|
Q_1.79|policy|Q_1.79|2022-02-24|MO|555.34|86.59|280.69|53205.1|ford|2012|A_1|
Q_1.80|policy|Q_1.80|2022-03-24|MS|724.28|48.4|245.33|556854.17|rivian|2009|A_1|
Q_1.81|policy|Q_1.81|2022-04-22|AK|533.08|52.95|673.54|6826084.31|audi|2021|A_1|
Q_1.82|policy|Q_1.82|2021-08-21|ID|623.49|28.91|119.02|9673229.38|audi|1976|A_1|
Q_1.83|policy|Q_1.83|2022-02-23|PA|847.34|52.51|556.8|454608.37|canoo|2012|A_1|
Q_1.84|policy|Q_1.84|2021-03-31|FL|620.2|66.44|250.31|9438314.41|volvo|2017|A_1|
Q_1.85|policy|Q_1.85|2022-04-06|CO|989.49|57.27|346.41|2447710.0|jeep|1974|A_1|
Q_1.86|policy|Q_1.86|2021-01-15|NV|631.08|85.82|688.25|7734299.38|jeep|2021|A_1|
Q_1.87|policy|Q_1.87|2022-03-22|NY|199.16|49.89|593.91|7455266.01|porsche|1983|A_1|
Q_1.88|policy|Q_1.88|2022-01-15|NM|455.79|60.85|157.53|7323751.97|rivian|1972|A_1|
Q_1.89|policy|Q_1.89|2021-10-30|WV|378.39|54.19|702.25|7276825.4|volvo|1987|A_1|
Q_1.90|policy|Q_1.90|2021-06-24|OK|228.57|26.77|966.02|4112706.96|rivian|1982|A_1|
Q_1.91|policy|Q_1.91|2022-03-15|OK|216.96|71.44|114.45|9104247.22|rivian|2005|A_1|
Q_1.92|policy|Q_1.92|2022-04-15|KS|121.19|97.16|453.23|9863354.53|ford|2005|A_1|
Q_1.93|policy|Q_1.93|2021-05-29|NE|767.24|75.58|920.36|2827930.22|rivian|1992|A_1|
Q_1.94|policy|Q_1.94|2021-08-10|AZ|726.59|69.52|364.18|705623.4|chevy|1999|A_1|
Q_1.95|policy|Q_1.95|2021-05-12|MI|499.04|35.22|822.84|8943582.89|volvo|2016|A_1|
Q_1.96|policy|Q_1.96|2021-04-01|WI|745.8|21.73|217.59|5559403.53|porsche|1973|A_1|
Q_1.97|policy|Q_1.97|2021-09-27|DE|954.37|30.65|260.71|7237998.24|chevy|2002|A_1|
Q_1.98|policy|Q_1.98|2021-12-01|SC|460.06|93.55|251.39|4823962.14|porsche|2004|A_1|
Q_1.99|policy|Q_1.99|2021-12-20|CO|664.0|21.47|195.96|6172672.43|chevy|1988|A_1|
Q_2.1|policy|Q_2.1|2022-01-11|KS|478.66|10.99|777.25|7221079.56|jeep|2005|A_2|
Q_2.2|policy|Q_2.2|2021-02-25|AZ|577.53|25.23|467.68|1297440.1|jeep|2013|A_2|
Q_2.3|policy|Q_2.3|2021-09-03|NH|663.93|58.57|347.53|5810862.33|audi|1985|A_2|
Q_2.4|policy|Q_2.4|2021-12-06|WI|669.61|46.13|217.38|4111408.23|jeep|1980|A_2|
Q_2.5|policy|Q_2.5|2021-03-31|IL|670.76|77.29|348.99|2078351.67|chevy|1974|A_2|
Q_2.6|policy|Q_2.6|2022-02-18|NY|193.14|35.23|440.08|8342380.71|porsche|1999|A_2|
Q_2.7|policy|Q_2.7|2021-08-15|WV|369.02|89.95|734.35|3200372.52|chevy|1996|A_2|
Q_2.8|policy|Q_2.8|2021-11-07|NV|666.43|92.2|146.07|6370649.16|ford|1995|A_2|
Q_2.9|policy|Q_2.9|2021-06-22|AZ|802.53|82.34|479.75|6482547.03|ford|1996|A_2|
Q_2.10|policy|Q_2.10|2021-04-11|ID|949.98|55.46|827.89|4933353.71|rivian|2002|A_2|
Q_2.11|policy|Q_2.11|2021-10-22|ND|895.45|86.85|140.46|3177720.74|audi|1994|A_2|
Q_2.12|policy|Q_2.12|2021-08-31|OK|462.6|72.65|334.07|1345566.63|jeep|1996|A_2|
Q_2.13|policy|Q_2.13|2022-01-24|IA|860.73|54.53|819.9|5987773.8|volvo|1986|A_2|
Q_2.14|policy|Q_2.14|2021-06-13|MD|804.76|89.49|724.12|7620048.43|ford|1996|A_2|
Q_2.15|policy|Q_2.15|2022-01-28|IA|901.67|78.31|508.05|6015810.4|canoo|2009|A_2|
Q_2.16|policy|Q_2.16|2022-03-17|GA|755.65|11.91|750.23|2559572.56|audi|1983|A_2|
Q_2.17|policy|Q_2.17|2021-07-19|HI|488.36|28.68|464.68|5784140.83|rivian|1987|A_2|
Q_2.18|policy|Q_2.18|2021-05-04|AR|457.99|93.38|508.23|4673564.65|volvo|2014|A_2|
Q_2.19|policy|Q_2.19|2021-03-17|LA|636.86|31.34|518.35|2209792.24|canoo|2018|A_2|
Q_2.20|policy|Q_2.20|2021-06-05|WV|839.91|62.3|882.5|3633398.02|audi|1999|A_2|
Q_2.21|policy|Q_2.21|2021-11-28|UT|825.95|68.68|460.33|80756.15|ford|2002|A_2|
Q_2.22|policy|Q_2.22|2021-02-25|MN|352.83|63.48|871.79|542855.49|ford|2002|A_2|
Q_2.23|policy|Q_2.23|2021-09-10|SD|770.91|91.59|157.83|5043094.67|chevy|1995|A_2|
Q_2.24|policy|Q_2.24|2021-11-15|OK|205.73|95.94|787.98|3232970.8|chevy|1991|A_2|
Q_2.25|policy|Q_2.25|2022-02-15|DE|666.12|31.36|227.21|8827034.01|audi|1996|A_2|
Q_2.26|policy|Q_2.26|2021-04-27|AL|883.93|50.9|941.4|184318.87|ford|1976|A_2|
Q_2.27|policy|Q_2.27|2021-12-05|NC|603.85|24.37|797.64|4461985.3|chevy|2016|A_2|
Q_2.28|policy|Q_2.28|2021-05-17|TX|637.56|66.44|393.91|1009785.56|rivian|1989|A_2|
Q_2.29|policy|Q_2.29|2021-08-22|WA|795.43|13.16|710.09|423777.21|ford|2000|A_2|
Q_2.30|policy|Q_2.30|2021-11-01|VA|613.85|89.07|625.69|2413673.47|canoo|2000|A_2|
Q_2.31|policy|Q_2.31|2022-02-28|IA|721.68|49.23|987.49|8967082.42|chevy|1970|A_2|
Q_2.32|policy|Q_2.32|2022-03-09|MN|973.96|32.31|317.39|5832961.93|canoo|2015|A_2|
Q_2.33|policy|Q_2.33|2021-10-15|HI|858.8|45.86|212.07|9487149.79|porsche|2015|A_2|
Q_2.34|policy|Q_2.34|2021-12-09|MA|265.57|57.54|108.17|1889025.61|porsche|2015|A_2|
Q_2.35|policy|Q_2.35|2021-02-01|NY|165.52|53.27|154.03|5155914.58|audi|1988|A_2|
Q_2.36|policy|Q_2.36|2021-04-19|HI|164.18|72.66|486.0|1117784.71|audi|1988|A_2|
Q_2.37|policy|Q_2.37|2021-02-18|IA|177.56|31.81|743.9|4577510.29|volvo|1999|A_2|
Q_2.38|policy|Q_2.38|2021-10-24|NM|324.62|87.3|276.62|6253444.79|jeep|2018|A_2|
Q_2.39|policy|Q_2.39|2021-12-21|IA|807.95|39.98|744.15|6355762.75|volvo|1978|A_2|
Q_2.40|policy|Q_2.40|2021-04-08|VA|301.39|21.75|493.24|6546981.9|volvo|1994|A_2|
Q_2.41|policy|Q_2.41|2021-05-27|ID|812.44|21.22|279.81|2594377.53|canoo|1989|A_2|
Q_2.42|policy|Q_2.42|2022-02-17|MO|554.21|42.11|352.66|9961551.2|rivian|1997|A_2|
Q_2.43|policy|Q_2.43|2021-01-11|AL|755.86|33.64|245.62|5780830.06|volvo|1981|A_2|
Q_2.44|policy|Q_2.44|2022-04-16|LA|262.33|37.62|109.78|9880309.0|jeep|1978|A_2|
